run,task,config,kind,index,value
precise_6a_6a_seed1,apple,T25,cv,0,0.27770662009716035
precise_6a_6a_seed1,apple,T25,cv,1,0.2465529665350914
precise_6a_6a_seed1,apple,T25,cv,2,0.17759046852588653
precise_6a_6a_seed1,apple,T25,cv,3,0.10241553485393524
precise_6a_6a_seed1,apple,T25,cv,4,0.17847023755311966
precise_6a_6a_seed1,apple,T25,cv,5,0.17047035247087478
precise_6a_6a_seed1,apple,T25,cv,6,0.09973036646842956
precise_6a_6a_seed1,apple,T25,cv,7,0.21420893222093582
precise_6a_6a_seed1,apple,T25,cv,8,0.11490554288029671
precise_6a_6a_seed1,apple,T25,cv,9,0.24610851407051088
precise_6a_6a_seed1,apple,T25,cv,10,0.027414702437818052
precise_6a_6a_seed1,apple,T25,cv,11,0.15643480718135833
precise_6a_6a_seed1,apple,T25,cv,12,0.18242724537849425
precise_6a_6a_seed1,apple,T25,cv,13,0.04379984587430954
precise_6a_6a_seed1,apple,T25,cv,14,0.10136757269501687
precise_6a_6a_seed1,apple,T25,cv,15,0.17574692517518997
precise_6a_6a_seed1,apple,T25,cv,16,0.29227148592472074
precise_6a_6a_seed1,apple,T25,cv,17,0.29104357659816743
precise_6a_6a_seed1,apple,T25,cv,18,0.027019776217639447
precise_6a_6a_seed1,apple,T25,cv,19,0.2617137774825096
precise_6a_6a_seed1,apple,T25,div,0,0.018642228096723557
precise_6a_6a_seed1,apple,T25,div,1,0.02776273339986801
precise_6a_6a_seed1,apple,T25,div,2,0.021427452564239502
precise_6a_6a_seed1,apple,T25,div,3,0.02191176451742649
precise_6a_6a_seed1,apple,T25,div,4,0.02390594407916069
precise_6a_6a_seed1,apple,T25,div,5,0.02263631671667099
precise_6a_6a_seed1,apple,S3b,cv,0,0.20599666237831116
precise_6a_6a_seed1,apple,S3b,cv,1,0.2559854507446289
precise_6a_6a_seed1,apple,S3b,cv,2,0.18235437273979188
precise_6a_6a_seed1,apple,S3b,cv,3,0.17304913997650145
precise_6a_6a_seed1,apple,S3b,cv,4,0.15828151851892472
precise_6a_6a_seed1,apple,S3b,cv,5,0.13295622169971466
precise_6a_6a_seed1,apple,S3b,cv,6,0.0961508683860302
precise_6a_6a_seed1,apple,S3b,cv,7,0.14934699907898902
precise_6a_6a_seed1,apple,S3b,cv,8,0.11638089716434478
precise_6a_6a_seed1,apple,S3b,cv,9,0.19279517829418183
precise_6a_6a_seed1,apple,S3b,cv,10,0.03927454724907875
precise_6a_6a_seed1,apple,S3b,cv,11,0.11272060126066208
precise_6a_6a_seed1,apple,S3b,cv,12,0.17208934724330902
precise_6a_6a_seed1,apple,S3b,cv,13,0.04815378785133362
precise_6a_6a_seed1,apple,S3b,cv,14,0.08422392308712005
precise_6a_6a_seed1,apple,S3b,cv,15,0.16967264115810393
precise_6a_6a_seed1,apple,S3b,cv,16,0.17913901209831237
precise_6a_6a_seed1,apple,S3b,cv,17,0.16977276802062988
precise_6a_6a_seed1,apple,S3b,cv,18,0.03657259978353977
precise_6a_6a_seed1,apple,S3b,cv,19,0.14824700653553008
precise_6a_6a_seed1,apple,S3b,div,0,0.02397768385708332
precise_6a_6a_seed1,apple,S3b,div,1,0.024423258379101753
precise_6a_6a_seed1,apple,S3b,div,2,0.0235044676810503
precise_6a_6a_seed1,apple,S3b,div,3,0.019045166671276093
precise_6a_6a_seed1,apple,S3b,div,4,0.025909332558512688
precise_6a_6a_seed1,apple,S3b,div,5,0.022587236016988754
