run,task,config,kind,index,value
precise_6a_6d_s1600,apple,T25,cv,0,0.27770662009716035
precise_6a_6d_s1600,apple,T25,cv,1,0.2465529665350914
precise_6a_6d_s1600,apple,T25,cv,2,0.17759046852588653
precise_6a_6d_s1600,apple,T25,cv,3,0.10241553485393524
precise_6a_6d_s1600,apple,T25,cv,4,0.17847023755311966
precise_6a_6d_s1600,apple,T25,cv,5,0.17047035247087478
precise_6a_6d_s1600,apple,T25,cv,6,0.09973036646842956
precise_6a_6d_s1600,apple,T25,cv,7,0.21420893222093582
precise_6a_6d_s1600,apple,T25,cv,8,0.11490554288029671
precise_6a_6d_s1600,apple,T25,cv,9,0.24610851407051088
precise_6a_6d_s1600,apple,T25,cv,10,0.027414702437818052
precise_6a_6d_s1600,apple,T25,cv,11,0.15643480718135833
precise_6a_6d_s1600,apple,T25,cv,12,0.18242724537849425
precise_6a_6d_s1600,apple,T25,cv,13,0.04379984587430954
precise_6a_6d_s1600,apple,T25,cv,14,0.10136757269501687
precise_6a_6d_s1600,apple,T25,cv,15,0.17574692517518997
precise_6a_6d_s1600,apple,T25,cv,16,0.29227148592472074
precise_6a_6d_s1600,apple,T25,cv,17,0.29104357659816743
precise_6a_6d_s1600,apple,T25,cv,18,0.027019776217639447
precise_6a_6d_s1600,apple,T25,cv,19,0.2617137774825096
precise_6a_6d_s1600,apple,T25,div,0,0.018642228096723557
precise_6a_6d_s1600,apple,T25,div,1,0.02776273339986801
precise_6a_6d_s1600,apple,T25,div,2,0.021427452564239502
precise_6a_6d_s1600,apple,T25,div,3,0.02191176451742649
precise_6a_6d_s1600,apple,T25,div,4,0.02390594407916069
precise_6a_6d_s1600,apple,T25,div,5,0.02263631671667099
precise_6a_6d_s1600,apple,S3,cv,0,0.15835991948843003
precise_6a_6d_s1600,apple,S3,cv,1,0.23478370159864426
precise_6a_6d_s1600,apple,S3,cv,2,0.1904975190758705
precise_6a_6d_s1600,apple,S3,cv,3,0.18450917750597
precise_6a_6d_s1600,apple,S3,cv,4,0.1602541834115982
precise_6a_6d_s1600,apple,S3,cv,5,0.17181545943021775
precise_6a_6d_s1600,apple,S3,cv,6,0.18225768804550171
precise_6a_6d_s1600,apple,S3,cv,7,0.17801506221294403
precise_6a_6d_s1600,apple,S3,cv,8,0.19191263914108275
precise_6a_6d_s1600,apple,S3,cv,9,0.19405907541513442
precise_6a_6d_s1600,apple,S3,cv,10,0.05571185909211636
precise_6a_6d_s1600,apple,S3,cv,11,0.13133977651596068
precise_6a_6d_s1600,apple,S3,cv,12,0.21101236939430237
precise_6a_6d_s1600,apple,S3,cv,13,0.07475598230957985
precise_6a_6d_s1600,apple,S3,cv,14,0.1927582800388336
precise_6a_6d_s1600,apple,S3,cv,15,0.21189645528793336
precise_6a_6d_s1600,apple,S3,cv,16,0.22610826045274734
precise_6a_6d_s1600,apple,S3,cv,17,0.23691568821668624
precise_6a_6d_s1600,apple,S3,cv,18,0.049145910888910294
precise_6a_6d_s1600,apple,S3,cv,19,0.2132527709007263
precise_6a_6d_s1600,apple,S3,div,0,0.024319162592291832
precise_6a_6d_s1600,apple,S3,div,1,0.026422278955578804
precise_6a_6d_s1600,apple,S3,div,2,0.02681964822113514
precise_6a_6d_s1600,apple,S3,div,3,0.020322119817137718
precise_6a_6d_s1600,apple,S3,div,4,0.0266076922416687
precise_6a_6d_s1600,apple,S3,div,5,0.02555716596543789
precise_6a_6d_s1600,apple,S3b,cv,0,0.14659372121095657
precise_6a_6d_s1600,apple,S3b,cv,1,0.2132437139749527
precise_6a_6d_s1600,apple,S3b,cv,2,0.16641683429479598
precise_6a_6d_s1600,apple,S3b,cv,3,0.1641327455639839
precise_6a_6d_s1600,apple,S3b,cv,4,0.15785520374774933
precise_6a_6d_s1600,apple,S3b,cv,5,0.1686866909265518
precise_6a_6d_s1600,apple,S3b,cv,6,0.16032243520021439
precise_6a_6d_s1600,apple,S3b,cv,7,0.1607928305864334
precise_6a_6d_s1600,apple,S3b,cv,8,0.17553894370794296
precise_6a_6d_s1600,apple,S3b,cv,9,0.18836740553379058
precise_6a_6d_s1600,apple,S3b,cv,10,0.05338902063667774
precise_6a_6d_s1600,apple,S3b,cv,11,0.13233573511242866
precise_6a_6d_s1600,apple,S3b,cv,12,0.19776517450809478
precise_6a_6d_s1600,apple,S3b,cv,13,0.07446779459714889
precise_6a_6d_s1600,apple,S3b,cv,14,0.15140722095966339
precise_6a_6d_s1600,apple,S3b,cv,15,0.19814554899930953
precise_6a_6d_s1600,apple,S3b,cv,16,0.24436732530593872
precise_6a_6d_s1600,apple,S3b,cv,17,0.24825092852115632
precise_6a_6d_s1600,apple,S3b,cv,18,0.047055873274803164
precise_6a_6d_s1600,apple,S3b,cv,19,0.21420990079641342
precise_6a_6d_s1600,apple,S3b,div,0,0.024319162592291832
precise_6a_6d_s1600,apple,S3b,div,1,0.026422278955578804
precise_6a_6d_s1600,apple,S3b,div,2,0.02681964822113514
precise_6a_6d_s1600,apple,S3b,div,3,0.020322119817137718
precise_6a_6d_s1600,apple,S3b,div,4,0.0266076922416687
precise_6a_6d_s1600,apple,S3b,div,5,0.02555716596543789
