run,task,config,kind,index,value
precise_6a_6e_s3200,apple,T25,cv,0,0.27770662009716035
precise_6a_6e_s3200,apple,T25,cv,1,0.2465529665350914
precise_6a_6e_s3200,apple,T25,cv,2,0.17759046852588653
precise_6a_6e_s3200,apple,T25,cv,3,0.10241553485393524
precise_6a_6e_s3200,apple,T25,cv,4,0.17847023755311966
precise_6a_6e_s3200,apple,T25,cv,5,0.17047035247087478
precise_6a_6e_s3200,apple,T25,cv,6,0.09973036646842956
precise_6a_6e_s3200,apple,T25,cv,7,0.21420893222093582
precise_6a_6e_s3200,apple,T25,cv,8,0.11490554288029671
precise_6a_6e_s3200,apple,T25,cv,9,0.24610851407051088
precise_6a_6e_s3200,apple,T25,cv,10,0.027414702437818052
precise_6a_6e_s3200,apple,T25,cv,11,0.15643480718135833
precise_6a_6e_s3200,apple,T25,cv,12,0.18242724537849425
precise_6a_6e_s3200,apple,T25,cv,13,0.04379984587430954
precise_6a_6e_s3200,apple,T25,cv,14,0.10136757269501687
precise_6a_6e_s3200,apple,T25,cv,15,0.17574692517518997
precise_6a_6e_s3200,apple,T25,cv,16,0.29227148592472074
precise_6a_6e_s3200,apple,T25,cv,17,0.29104357659816743
precise_6a_6e_s3200,apple,T25,cv,18,0.027019776217639447
precise_6a_6e_s3200,apple,T25,cv,19,0.2617137774825096
precise_6a_6e_s3200,apple,T25,div,0,0.018642228096723557
precise_6a_6e_s3200,apple,T25,div,1,0.02776273339986801
precise_6a_6e_s3200,apple,T25,div,2,0.021427452564239502
precise_6a_6e_s3200,apple,T25,div,3,0.02191176451742649
precise_6a_6e_s3200,apple,T25,div,4,0.02390594407916069
precise_6a_6e_s3200,apple,T25,div,5,0.02263631671667099
precise_6a_6e_s3200,apple,S3,cv,0,0.2662344634532928
precise_6a_6e_s3200,apple,S3,cv,1,0.2784083068370819
precise_6a_6e_s3200,apple,S3,cv,2,0.21312299221754075
precise_6a_6e_s3200,apple,S3,cv,3,0.24802286624908448
precise_6a_6e_s3200,apple,S3,cv,4,0.18708598911762236
precise_6a_6e_s3200,apple,S3,cv,5,0.1459874242544174
precise_6a_6e_s3200,apple,S3,cv,6,0.12071987986564636
precise_6a_6e_s3200,apple,S3,cv,7,0.19188548028469085
precise_6a_6e_s3200,apple,S3,cv,8,0.16925202757120134
precise_6a_6e_s3200,apple,S3,cv,9,0.24346233308315277
precise_6a_6e_s3200,apple,S3,cv,10,0.040705686435103416
precise_6a_6e_s3200,apple,S3,cv,11,0.1474459707736969
precise_6a_6e_s3200,apple,S3,cv,12,0.2016811639070511
precise_6a_6e_s3200,apple,S3,cv,13,0.06137853972613812
precise_6a_6e_s3200,apple,S3,cv,14,0.1208591639995575
precise_6a_6e_s3200,apple,S3,cv,15,0.19203912019729613
precise_6a_6e_s3200,apple,S3,cv,16,0.24906007796525956
precise_6a_6e_s3200,apple,S3,cv,17,0.2539602741599083
precise_6a_6e_s3200,apple,S3,cv,18,0.035662248358130456
precise_6a_6e_s3200,apple,S3,cv,19,0.24263113886117935
precise_6a_6e_s3200,apple,S3,div,0,0.02284620888531208
precise_6a_6e_s3200,apple,S3,div,1,0.023092396557331085
precise_6a_6e_s3200,apple,S3,div,2,0.022467326372861862
precise_6a_6e_s3200,apple,S3,div,3,0.018427232280373573
precise_6a_6e_s3200,apple,S3,div,4,0.02492925338447094
precise_6a_6e_s3200,apple,S3,div,5,0.018654290586709976
precise_6a_6e_s3200,apple,S3b,cv,0,0.27095974087715147
precise_6a_6e_s3200,apple,S3b,cv,1,0.2727494567632675
precise_6a_6e_s3200,apple,S3b,cv,2,0.2065654769539833
precise_6a_6e_s3200,apple,S3b,cv,3,0.2524383395910263
precise_6a_6e_s3200,apple,S3b,cv,4,0.19343876391649245
precise_6a_6e_s3200,apple,S3b,cv,5,0.14583642035722733
precise_6a_6e_s3200,apple,S3b,cv,6,0.10645299628376961
precise_6a_6e_s3200,apple,S3b,cv,7,0.20031483620405197
precise_6a_6e_s3200,apple,S3b,cv,8,0.15706007927656174
precise_6a_6e_s3200,apple,S3b,cv,9,0.24518599063158036
precise_6a_6e_s3200,apple,S3b,cv,10,0.04025041982531548
precise_6a_6e_s3200,apple,S3b,cv,11,0.142511560767889
precise_6a_6e_s3200,apple,S3b,cv,12,0.21151490062475203
precise_6a_6e_s3200,apple,S3b,cv,13,0.061027458682656285
precise_6a_6e_s3200,apple,S3b,cv,14,0.09538908526301385
precise_6a_6e_s3200,apple,S3b,cv,15,0.20126722902059554
precise_6a_6e_s3200,apple,S3b,cv,16,0.26161000728607176
precise_6a_6e_s3200,apple,S3b,cv,17,0.25961864143610003
precise_6a_6e_s3200,apple,S3b,cv,18,0.0346537820994854
precise_6a_6e_s3200,apple,S3b,cv,19,0.24427493661642075
precise_6a_6e_s3200,apple,S3b,div,0,0.02284620888531208
precise_6a_6e_s3200,apple,S3b,div,1,0.023092396557331085
precise_6a_6e_s3200,apple,S3b,div,2,0.022467326372861862
precise_6a_6e_s3200,apple,S3b,div,3,0.018427232280373573
precise_6a_6e_s3200,apple,S3b,div,4,0.02492925338447094
precise_6a_6e_s3200,apple,S3b,div,5,0.018654290586709976
