run,task,config,kind,index,value
precise_6a_avgfinal,apple,T25,cv,0,0.27770662009716035
precise_6a_avgfinal,apple,T25,cv,1,0.2465529665350914
precise_6a_avgfinal,apple,T25,cv,2,0.17759046852588653
precise_6a_avgfinal,apple,T25,cv,3,0.10241553485393524
precise_6a_avgfinal,apple,T25,cv,4,0.17847023755311966
precise_6a_avgfinal,apple,T25,cv,5,0.17047035247087478
precise_6a_avgfinal,apple,T25,cv,6,0.09973036646842956
precise_6a_avgfinal,apple,T25,cv,7,0.21420893222093582
precise_6a_avgfinal,apple,T25,cv,8,0.11490554288029671
precise_6a_avgfinal,apple,T25,cv,9,0.24610851407051088
precise_6a_avgfinal,apple,T25,cv,10,0.027414702437818052
precise_6a_avgfinal,apple,T25,cv,11,0.15643480718135833
precise_6a_avgfinal,apple,T25,cv,12,0.18242724537849425
precise_6a_avgfinal,apple,T25,cv,13,0.04379984587430954
precise_6a_avgfinal,apple,T25,cv,14,0.10136757269501687
precise_6a_avgfinal,apple,T25,cv,15,0.17574692517518997
precise_6a_avgfinal,apple,T25,cv,16,0.29227148592472074
precise_6a_avgfinal,apple,T25,cv,17,0.29104357659816743
precise_6a_avgfinal,apple,T25,cv,18,0.027019776217639447
precise_6a_avgfinal,apple,T25,cv,19,0.2617137774825096
precise_6a_avgfinal,apple,T25,div,0,0.018642228096723557
precise_6a_avgfinal,apple,T25,div,1,0.02776273339986801
precise_6a_avgfinal,apple,T25,div,2,0.021427452564239502
precise_6a_avgfinal,apple,T25,div,3,0.02191176451742649
precise_6a_avgfinal,apple,T25,div,4,0.02390594407916069
precise_6a_avgfinal,apple,T25,div,5,0.02263631671667099
precise_6a_avgfinal,apple,S4b,cv,0,0.20024219304323196
precise_6a_avgfinal,apple,S4b,cv,1,0.2314316913485527
precise_6a_avgfinal,apple,S4b,cv,2,0.17010584026575087
precise_6a_avgfinal,apple,S4b,cv,3,0.1857907369732857
precise_6a_avgfinal,apple,S4b,cv,4,0.15759562999010085
precise_6a_avgfinal,apple,S4b,cv,5,0.15448773950338363
precise_6a_avgfinal,apple,S4b,cv,6,0.10483011975884438
precise_6a_avgfinal,apple,S4b,cv,7,0.13565938472747802
precise_6a_avgfinal,apple,S4b,cv,8,0.1596912145614624
precise_6a_avgfinal,apple,S4b,cv,9,0.19213054180145264
precise_6a_avgfinal,apple,S4b,cv,10,0.03534419350326061
precise_6a_avgfinal,apple,S4b,cv,11,0.09875235855579376
precise_6a_avgfinal,apple,S4b,cv,12,0.16711730659008026
precise_6a_avgfinal,apple,S4b,cv,13,0.054610497877001764
precise_6a_avgfinal,apple,S4b,cv,14,0.08147288262844085
precise_6a_avgfinal,apple,S4b,cv,15,0.1671560600399971
precise_6a_avgfinal,apple,S4b,cv,16,0.18875329196453094
precise_6a_avgfinal,apple,S4b,cv,17,0.18056183755397798
precise_6a_avgfinal,apple,S4b,cv,18,0.03484563753008842
precise_6a_avgfinal,apple,S4b,cv,19,0.15774282664060593
precise_6a_avgfinal,apple,S4b,div,0,0.02453935705125332
precise_6a_avgfinal,apple,S4b,div,1,0.027017885819077492
precise_6a_avgfinal,apple,S4b,div,2,0.023645637556910515
precise_6a_avgfinal,apple,S4b,div,3,0.019110918045043945
