run,task,config,kind,index,value
precise_6a_cereal_box,cereal_box,T25,cv,0,0.06873598508536816
precise_6a_cereal_box,cereal_box,T25,cv,1,0.04276431687176228
precise_6a_cereal_box,cereal_box,T25,cv,2,0.05098401792347431
precise_6a_cereal_box,cereal_box,T25,cv,3,0.039840859919786455
precise_6a_cereal_box,cereal_box,T25,cv,4,0.05811694711446762
precise_6a_cereal_box,cereal_box,T25,cv,5,0.056466936320066455
precise_6a_cereal_box,cereal_box,T25,cv,6,0.05621248334646225
precise_6a_cereal_box,cereal_box,T25,cv,7,0.04820951595902443
precise_6a_cereal_box,cereal_box,T25,cv,8,0.037702013924717906
precise_6a_cereal_box,cereal_box,T25,cv,9,0.0540868878364563
precise_6a_cereal_box,cereal_box,T25,cv,10,0.05674395859241486
precise_6a_cereal_box,cereal_box,T25,cv,11,0.05558239407837391
precise_6a_cereal_box,cereal_box,T25,cv,12,0.059722084924578665
precise_6a_cereal_box,cereal_box,T25,cv,13,0.056606803089380264
precise_6a_cereal_box,cereal_box,T25,cv,14,0.06849553063511848
precise_6a_cereal_box,cereal_box,T25,cv,15,0.06381377279758453
precise_6a_cereal_box,cereal_box,T25,cv,16,0.04862104840576649
precise_6a_cereal_box,cereal_box,T25,cv,17,0.04892878383398056
precise_6a_cereal_box,cereal_box,T25,cv,18,0.04549054577946663
precise_6a_cereal_box,cereal_box,T25,cv,19,0.058868715167045595
precise_6a_cereal_box,cereal_box,T25,div,0,0.027958055958151817
precise_6a_cereal_box,cereal_box,T25,div,1,0.029399899765849113
precise_6a_cereal_box,cereal_box,T25,div,2,0.025871004909276962
precise_6a_cereal_box,cereal_box,T25,div,3,0.02645053341984749
precise_6a_cereal_box,cereal_box,T25,div,4,0.02420186996459961
precise_6a_cereal_box,cereal_box,T25,div,5,0.027125516906380653
precise_6a_cereal_box,cereal_box,S3b,cv,0,0.05571668446063995
precise_6a_cereal_box,cereal_box,S3b,cv,1,0.048245450109243394
precise_6a_cereal_box,cereal_box,S3b,cv,2,0.03464624211192131
precise_6a_cereal_box,cereal_box,S3b,cv,3,0.041601989045739175
precise_6a_cereal_box,cereal_box,S3b,cv,4,0.0562706608325243
