run,task,config,kind,index,value
precise_6a,apple,T25,cv,0,0.1724170684814453
precise_6a,apple,T25,cv,1,0.16716988682746886
precise_6a,apple,T25,cv,2,0.2459213212132454
precise_6a,apple,T25,cv,3,0.1748066321015358
precise_6a,apple,T25,cv,4,0.2818388700485229
precise_6a,apple,T25,cv,5,0.2713685780763626
precise_6a,apple,T25,cv,6,0.04745554104447365
precise_6a,apple,T25,cv,7,0.026929091662168503
precise_6a,apple,T25,cv,8,0.18021280765533448
precise_6a,apple,T25,cv,9,0.26408477425575255
precise_6a,apple,T25,div,0,0.02007729932665825
precise_6a,apple,T25,div,1,0.021841946989297867
precise_6a,apple,T25,div,2,0.013762032613158226
precise_6a,apple,T25,div,3,0.019422756507992744
precise_6a,apple,T25,div,4,0.016626613214612007
precise_6a,apple,T25,div,5,0.021029744297266006
precise_6a,apple,T4,cv,0,0.16751909554004668
precise_6a,apple,T4,cv,1,0.16072991043329238
precise_6a,apple,T4,cv,2,0.25608002841472627
precise_6a,apple,T4,cv,3,0.15075319707393647
precise_6a,apple,T4,cv,4,0.21994892060756682
precise_6a,apple,T4,cv,5,0.27345962524414064
precise_6a,apple,T4,cv,6,0.04067295715212822
precise_6a,apple,T4,cv,7,0.02736351378262043
precise_6a,apple,T4,cv,8,0.17241788357496263
precise_6a,apple,T4,cv,9,0.25721354484558107
precise_6a,apple,T4,div,0,0.010283960960805416
precise_6a,apple,T4,div,1,0.013057330623269081
precise_6a,apple,T4,div,2,0.007998974993824959
precise_6a,apple,T4,div,3,0.010659858584403992
precise_6a,apple,T4,div,4,0.009573180228471756
precise_6a,apple,T4,div,5,0.012657107785344124
precise_6a,apple,T1,cv,0,0.16117479652166367
precise_6a,apple,T1,cv,1,0.16231878101825714
precise_6a,apple,T1,cv,2,0.25274790078401566
precise_6a,apple,T1,cv,3,0.1490176111459732
precise_6a,apple,T1,cv,4,0.17415331304073334
precise_6a,apple,T1,cv,5,0.29002462029457093
precise_6a,apple,T1,cv,6,0.03520488850772381
precise_6a,apple,T1,cv,7,0.02797537259757519
precise_6a,apple,T1,cv,8,0.15724319219589233
precise_6a,apple,T1,cv,9,0.2522286266088486
precise_6a,apple,T1,div,0,0.004551385995000601
precise_6a,apple,T1,div,1,0.004116087220609188
precise_6a,apple,T1,div,2,0.004225431475788355
precise_6a,apple,T1,div,3,0.004285088740289211
precise_6a,apple,T1,div,4,0.004128466825932264
precise_6a,apple,T1,div,5,0.004115957301110029
precise_6a,apple,S3,cv,0,0.16909292191267014
precise_6a,apple,S3,cv,1,0.17088607847690582
precise_6a,apple,S3,cv,2,0.23300469368696214
precise_6a,apple,S3,cv,3,0.12373315766453744
precise_6a,apple,S3,cv,4,0.1905608132481575
precise_6a,apple,S3,cv,5,0.30339956283569336
precise_6a,apple,S3,cv,6,0.05326135829091072
precise_6a,apple,S3,cv,7,0.04312934279441834
precise_6a,apple,S3,cv,8,0.17054289132356643
precise_6a,apple,S3,cv,9,0.14479269087314606
precise_6a,apple,S3,div,0,0.02053580991923809
precise_6a,apple,S3,div,1,0.023181535303592682
precise_6a,apple,S3,div,2,0.017342112958431244
precise_6a,apple,S3,div,3,0.0221474077552557
precise_6a,apple,S3,div,4,0.016388626769185066
precise_6a,apple,S3,div,5,0.022895872592926025
precise_6a,apple,S1,cv,0,0.15131476670503616
precise_6a,apple,S1,cv,1,0.1808722585439682
precise_6a,apple,S1,cv,2,0.27935284525156023
precise_6a,apple,S1,cv,3,0.11928409561514855
precise_6a,apple,S1,cv,4,0.22450762540102004
precise_6a,apple,S1,cv,5,0.2511509135365486
precise_6a,apple,S1,cv,6,0.06141571663320065
precise_6a,apple,S1,cv,7,0.05378858931362629
precise_6a,apple,S1,cv,8,0.15872306376695633
precise_6a,apple,S1,cv,9,0.20440464615821838
precise_6a,apple,S1,div,0,0.00998647604137659
precise_6a,apple,S1,div,1,0.01121107954531908
precise_6a,apple,S1,div,2,0.009116393513977528
precise_6a,apple,S1,div,3,0.011011420749127865
precise_6a,apple,S1,div,4,0.008931178599596024
precise_6a,apple,S1,div,5,0.008564692921936512
