run,task,config,kind,index,value
precise_6a_final60,apple,T25,cv,0,0.27770662009716035
precise_6a_final60,apple,T25,cv,1,0.2465529665350914
precise_6a_final60,apple,T25,cv,2,0.17759046852588653
precise_6a_final60,apple,T25,cv,3,0.10241553485393524
precise_6a_final60,apple,T25,cv,4,0.17847023755311966
precise_6a_final60,apple,T25,cv,5,0.17047035247087478
precise_6a_final60,apple,T25,cv,6,0.09973036646842956
precise_6a_final60,apple,T25,cv,7,0.21420893222093582
precise_6a_final60,apple,T25,cv,8,0.11490554288029671
precise_6a_final60,apple,T25,cv,9,0.24610851407051088
precise_6a_final60,apple,T25,cv,10,0.027414702437818052
precise_6a_final60,apple,T25,cv,11,0.15643480718135833
precise_6a_final60,apple,T25,cv,12,0.18242724537849425
precise_6a_final60,apple,T25,cv,13,0.04379984587430954
precise_6a_final60,apple,T25,cv,14,0.10136757269501687
precise_6a_final60,apple,T25,cv,15,0.17574692517518997
precise_6a_final60,apple,T25,cv,16,0.29227148592472074
precise_6a_final60,apple,T25,cv,17,0.29104357659816743
precise_6a_final60,apple,T25,cv,18,0.027019776217639447
precise_6a_final60,apple,T25,cv,19,0.2617137774825096
precise_6a_final60,apple,T25,cv,20,0.24127472937107086
precise_6a_final60,apple,T25,cv,21,0.23865710347890853
precise_6a_final60,apple,T25,cv,22,0.17548305690288543
precise_6a_final60,apple,T25,cv,23,0.04360026940703392
precise_6a_final60,apple,T25,cv,24,0.2422900304198265
precise_6a_final60,apple,T25,cv,25,0.256384339928627
precise_6a_final60,apple,T25,cv,26,0.17674314081668854
precise_6a_final60,apple,T25,cv,27,0.02685741949826479
precise_6a_final60,apple,T25,cv,28,0.10639437660574913
precise_6a_final60,apple,T25,cv,29,0.10294245183467865
precise_6a_final60,apple,T25,cv,30,0.24229616224765776
precise_6a_final60,apple,T25,cv,31,0.04747101366519928
precise_6a_final60,apple,T25,cv,32,0.2911531001329422
precise_6a_final60,apple,T25,cv,33,0.26154172867536546
precise_6a_final60,apple,T25,cv,34,0.2602467149496078
precise_6a_final60,apple,T25,cv,35,0.3038749635219574
precise_6a_final60,apple,T25,cv,36,0.16417003720998763
precise_6a_final60,apple,T25,cv,37,0.04720538966357708
precise_6a_final60,apple,T25,cv,38,0.3037064790725708
precise_6a_final60,apple,T25,cv,39,0.15906453877687454
precise_6a_final60,apple,T25,cv,40,0.16715389490127563
precise_6a_final60,apple,T25,cv,41,0.09851335287094116
precise_6a_final60,apple,T25,cv,42,0.1762672781944275
precise_6a_final60,apple,T25,cv,43,0.026413139887154102
precise_6a_final60,apple,T25,cv,44,0.26408477425575255
precise_6a_final60,apple,T25,cv,45,0.1220826305449009
precise_6a_final60,apple,T25,cv,46,0.23717479407787323
precise_6a_final60,apple,T25,cv,47,0.07677046097815036
precise_6a_final60,apple,T25,cv,48,0.1644063413143158
precise_6a_final60,apple,T25,cv,49,0.26875190138816835
precise_6a_final60,apple,T25,cv,50,0.05948121212422848
precise_6a_final60,apple,T25,cv,51,0.23217765837907792
precise_6a_final60,apple,T25,cv,52,0.17329058796167374
precise_6a_final60,apple,T25,cv,53,0.04479286037385464
precise_6a_final60,apple,T25,cv,54,0.15213833153247833
