run,task,config,kind,index,value
precise_6a_long_s3200,apple,T25,cv,0,0.27770662009716035
precise_6a_long_s3200,apple,T25,cv,1,0.2465529665350914
precise_6a_long_s3200,apple,T25,cv,2,0.17759046852588653
precise_6a_long_s3200,apple,T25,cv,3,0.10241553485393524
precise_6a_long_s3200,apple,T25,cv,4,0.17847023755311966
precise_6a_long_s3200,apple,T25,cv,5,0.17047035247087478
precise_6a_long_s3200,apple,T25,cv,6,0.09973036646842956
precise_6a_long_s3200,apple,T25,cv,7,0.21420893222093582
precise_6a_long_s3200,apple,T25,cv,8,0.11490554288029671
precise_6a_long_s3200,apple,T25,cv,9,0.24610851407051088
precise_6a_long_s3200,apple,T25,cv,10,0.027414702437818052
precise_6a_long_s3200,apple,T25,cv,11,0.15643480718135833
precise_6a_long_s3200,apple,T25,cv,12,0.18242724537849425
precise_6a_long_s3200,apple,T25,cv,13,0.04379984587430954
precise_6a_long_s3200,apple,T25,cv,14,0.10136757269501687
precise_6a_long_s3200,apple,T25,cv,15,0.17574692517518997
precise_6a_long_s3200,apple,T25,cv,16,0.29227148592472074
precise_6a_long_s3200,apple,T25,cv,17,0.29104357659816743
precise_6a_long_s3200,apple,T25,cv,18,0.027019776217639447
precise_6a_long_s3200,apple,T25,cv,19,0.2617137774825096
precise_6a_long_s3200,apple,T25,div,0,0.018642228096723557
precise_6a_long_s3200,apple,T25,div,1,0.02776273339986801
precise_6a_long_s3200,apple,T25,div,2,0.021427452564239502
precise_6a_long_s3200,apple,T25,div,3,0.02191176451742649
precise_6a_long_s3200,apple,T25,div,4,0.02390594407916069
precise_6a_long_s3200,apple,T25,div,5,0.02263631671667099
precise_6a_long_s3200,apple,S3b,cv,0,0.2368606671690941
precise_6a_long_s3200,apple,S3b,cv,1,0.2382853463292122
precise_6a_long_s3200,apple,S3b,cv,2,0.16801446080207824
precise_6a_long_s3200,apple,S3b,cv,3,0.1707253113389015
precise_6a_long_s3200,apple,S3b,cv,4,0.16578483283519746
precise_6a_long_s3200,apple,S3b,cv,5,0.08005341365933419
precise_6a_long_s3200,apple,S3b,cv,6,0.07375547811388969
precise_6a_long_s3200,apple,S3b,cv,7,0.15189468264579772
precise_6a_long_s3200,apple,S3b,cv,8,0.07030781134963035
precise_6a_long_s3200,apple,S3b,cv,9,0.195050847530365
precise_6a_long_s3200,apple,S3b,cv,10,0.03617044538259506
precise_6a_long_s3200,apple,S3b,cv,11,0.12425763607025146
precise_6a_long_s3200,apple,S3b,cv,12,0.14859878420829772
precise_6a_long_s3200,apple,S3b,cv,13,0.03732709363102913
precise_6a_long_s3200,apple,S3b,cv,14,0.07785124331712723
precise_6a_long_s3200,apple,S3b,cv,15,0.1570231020450592
precise_6a_long_s3200,apple,S3b,cv,16,0.15499344170093537
precise_6a_long_s3200,apple,S3b,cv,17,0.14202870130538942
precise_6a_long_s3200,apple,S3b,cv,18,0.03365492820739746
precise_6a_long_s3200,apple,S3b,cv,19,0.15177099853754045
precise_6a_long_s3200,apple,S3b,div,0,0.025812815874814987
precise_6a_long_s3200,apple,S3b,div,1,0.02436148375272751
precise_6a_long_s3200,apple,S3b,div,2,0.02281702123582363
precise_6a_long_s3200,apple,S3b,div,3,0.019581666216254234
precise_6a_long_s3200,apple,S3b,div,4,0.026313841342926025
precise_6a_long_s3200,apple,S3b,div,5,0.01912006177008152
