run,task,config,kind,index,value
precise_6a_main20_compile,apple,T25,cv,0,0.27770662009716035
precise_6a_main20_compile,apple,T25,cv,1,0.2465529665350914
precise_6a_main20_compile,apple,T25,cv,2,0.17759046852588653
precise_6a_main20_compile,apple,T25,cv,3,0.10241553485393524
precise_6a_main20_compile,apple,T25,cv,4,0.17847023755311966
precise_6a_main20_compile,apple,T25,cv,5,0.17047035247087478
precise_6a_main20_compile,apple,T25,cv,6,0.09973036646842956
precise_6a_main20_compile,apple,T25,cv,7,0.21420893222093582
precise_6a_main20_compile,apple,T25,cv,8,0.11490554288029671
precise_6a_main20_compile,apple,T25,cv,9,0.24610851407051088
precise_6a_main20_compile,apple,T25,cv,10,0.027414702437818052
precise_6a_main20_compile,apple,T25,cv,11,0.15643480718135833
precise_6a_main20_compile,apple,T25,cv,12,0.18242724537849425
precise_6a_main20_compile,apple,T25,cv,13,0.04379984587430954
precise_6a_main20_compile,apple,T25,cv,14,0.10136757269501687
precise_6a_main20_compile,apple,T25,cv,15,0.17574692517518997
precise_6a_main20_compile,apple,T25,cv,16,0.29227148592472074
precise_6a_main20_compile,apple,T25,cv,17,0.29104357659816743
precise_6a_main20_compile,apple,T25,cv,18,0.027019776217639447
precise_6a_main20_compile,apple,T25,cv,19,0.2617137774825096
precise_6a_main20_compile,apple,T25,div,0,0.018642228096723557
precise_6a_main20_compile,apple,T25,div,1,0.02776273339986801
precise_6a_main20_compile,apple,T25,div,2,0.021427452564239502
precise_6a_main20_compile,apple,T25,div,3,0.02191176451742649
precise_6a_main20_compile,apple,T25,div,4,0.02390594407916069
precise_6a_main20_compile,apple,T25,div,5,0.02263631671667099
precise_6a_main20_compile,apple,S3b,cv,0,0.19601346254348756
precise_6a_main20_compile,apple,S3b,cv,1,0.25118426978588104
precise_6a_main20_compile,apple,S3b,cv,2,0.18018887042999268
precise_6a_main20_compile,apple,S3b,cv,3,0.17466163039207458
precise_6a_main20_compile,apple,S3b,cv,4,0.15716905295848846
precise_6a_main20_compile,apple,S3b,cv,5,0.1321108728647232
precise_6a_main20_compile,apple,S3b,cv,6,0.09681667983531952
precise_6a_main20_compile,apple,S3b,cv,7,0.13781145885586737
precise_6a_main20_compile,apple,S3b,cv,8,0.1218935266137123
precise_6a_main20_compile,apple,S3b,cv,9,0.19079677015542984
precise_6a_main20_compile,apple,S3b,cv,10,0.03988717906177044
precise_6a_main20_compile,apple,S3b,cv,11,0.10370231419801712
precise_6a_main20_compile,apple,S3b,cv,12,0.16078859120607375
precise_6a_main20_compile,apple,S3b,cv,13,0.0507637869566679
precise_6a_main20_compile,apple,S3b,cv,14,0.08484058678150178
precise_6a_main20_compile,apple,S3b,cv,15,0.1644209936261177
precise_6a_main20_compile,apple,S3b,cv,16,0.17001625001430512
precise_6a_main20_compile,apple,S3b,cv,17,0.16224786639213562
precise_6a_main20_compile,apple,S3b,cv,18,0.037839251756668094
precise_6a_main20_compile,apple,S3b,cv,19,0.1467224970459938
precise_6a_main20_compile,apple,S3b,div,0,0.022698331624269485
precise_6a_main20_compile,apple,S3b,div,1,0.024451706558465958
precise_6a_main20_compile,apple,S3b,div,2,0.022612931206822395
precise_6a_main20_compile,apple,S3b,div,3,0.01838662661612034
precise_6a_main20_compile,apple,S3b,div,4,0.024974286556243896
precise_6a_main20_compile,apple,S3b,div,5,0.021541375666856766
precise_6a_main20_compile,apple,S1b,cv,0,0.1883278727531433
precise_6a_main20_compile,apple,S1b,cv,1,0.22361714988946915
precise_6a_main20_compile,apple,S1b,cv,2,0.17167176753282548
precise_6a_main20_compile,apple,S1b,cv,3,0.17142052054405213
precise_6a_main20_compile,apple,S1b,cv,4,0.18130215108394623
precise_6a_main20_compile,apple,S1b,cv,5,0.13989363238215446
precise_6a_main20_compile,apple,S1b,cv,6,0.15375728383660317
precise_6a_main20_compile,apple,S1b,cv,7,0.1818450704216957
precise_6a_main20_compile,apple,S1b,cv,8,0.17047392427921296
precise_6a_main20_compile,apple,S1b,cv,9,0.23482404053211212
precise_6a_main20_compile,apple,S1b,cv,10,0.04105157591402531
precise_6a_main20_compile,apple,S1b,cv,11,0.12523695081472397
precise_6a_main20_compile,apple,S1b,cv,12,0.1728089928627014
precise_6a_main20_compile,apple,S1b,cv,13,0.0628229059278965
precise_6a_main20_compile,apple,S1b,cv,14,0.10969836711883545
precise_6a_main20_compile,apple,S1b,cv,15,0.17424266636371613
precise_6a_main20_compile,apple,S1b,cv,16,0.2682339772582054
precise_6a_main20_compile,apple,S1b,cv,17,0.2731238633394241
precise_6a_main20_compile,apple,S1b,cv,18,0.0342027673497796
precise_6a_main20_compile,apple,S1b,cv,19,0.21952039301395415
precise_6a_main20_compile,apple,S1b,div,0,0.011181879788637161
precise_6a_main20_compile,apple,S1b,div,1,0.013992496766149998
precise_6a_main20_compile,apple,S1b,div,2,0.009134512394666672
precise_6a_main20_compile,apple,S1b,div,3,0.012463528662919998
precise_6a_main20_compile,apple,S1b,div,4,0.010551118291914463
precise_6a_main20_compile,apple,S1b,div,5,0.012211799621582031
