run,task,config,kind,index,value
precise_6a_main20,apple,T25,cv,0,0.27770662009716035
precise_6a_main20,apple,T25,cv,1,0.2465529665350914
precise_6a_main20,apple,T25,cv,2,0.17759046852588653
precise_6a_main20,apple,T25,cv,3,0.10241553485393524
precise_6a_main20,apple,T25,cv,4,0.17847023755311966
precise_6a_main20,apple,T25,cv,5,0.17047035247087478
precise_6a_main20,apple,T25,cv,6,0.09973036646842956
precise_6a_main20,apple,T25,cv,7,0.21420893222093582
precise_6a_main20,apple,T25,cv,8,0.11490554288029671
precise_6a_main20,apple,T25,cv,9,0.24610851407051088
precise_6a_main20,apple,T25,cv,10,0.027414702437818052
precise_6a_main20,apple,T25,cv,11,0.15643480718135833
precise_6a_main20,apple,T25,cv,12,0.18242724537849425
precise_6a_main20,apple,T25,cv,13,0.04379984587430954
precise_6a_main20,apple,T25,cv,14,0.10136757269501687
precise_6a_main20,apple,T25,cv,15,0.17574692517518997
precise_6a_main20,apple,T25,cv,16,0.29227148592472074
precise_6a_main20,apple,T25,cv,17,0.29104357659816743
precise_6a_main20,apple,T25,cv,18,0.027019776217639447
precise_6a_main20,apple,T25,cv,19,0.2617137774825096
precise_6a_main20,apple,T25,div,0,0.018642228096723557
precise_6a_main20,apple,T25,div,1,0.02776273339986801
precise_6a_main20,apple,T25,div,2,0.021427452564239502
precise_6a_main20,apple,T25,div,3,0.02191176451742649
precise_6a_main20,apple,T25,div,4,0.02390594407916069
precise_6a_main20,apple,T25,div,5,0.02263631671667099
precise_6a_main20,apple,T4,cv,0,0.24624496400356294
precise_6a_main20,apple,T4,cv,1,0.24303653240203857
precise_6a_main20,apple,T4,cv,2,0.17832001596689223
precise_6a_main20,apple,T4,cv,3,0.11482086181640624
precise_6a_main20,apple,T4,cv,4,0.1812906101346016
precise_6a_main20,apple,T4,cv,5,0.1608296513557434
precise_6a_main20,apple,T4,cv,6,0.09189920723438263
precise_6a_main20,apple,T4,cv,7,0.21405671685934066
precise_6a_main20,apple,T4,cv,8,0.10949473157525062
precise_6a_main20,apple,T4,cv,9,0.2494204416871071
precise_6a_main20,apple,T4,cv,10,0.024030556343495844
precise_6a_main20,apple,T4,cv,11,0.15090309232473373
precise_6a_main20,apple,T4,cv,12,0.17463568449020386
precise_6a_main20,apple,T4,cv,13,0.03945189006626606
precise_6a_main20,apple,T4,cv,14,0.09978430867195129
precise_6a_main20,apple,T4,cv,15,0.17400219291448593
precise_6a_main20,apple,T4,cv,16,0.2860104709863663
precise_6a_main20,apple,T4,cv,17,0.28808610439300536
precise_6a_main20,apple,T4,cv,18,0.021724019199609756
precise_6a_main20,apple,T4,cv,19,0.2539422303438187
precise_6a_main20,apple,T4,div,0,0.00988074578344822
precise_6a_main20,apple,T4,div,1,0.018835214897990227
precise_6a_main20,apple,T4,div,2,0.012488853186368942
precise_6a_main20,apple,T4,div,3,0.011978710070252419
precise_6a_main20,apple,T4,div,4,0.0126940393820405
precise_6a_main20,apple,T4,div,5,0.01297567319124937
precise_6a_main20,apple,T3r,cv,0,0.2605026066303253
precise_6a_main20,apple,T3r,cv,1,0.2571869969367981
precise_6a_main20,apple,T3r,cv,2,0.1829565465450287
precise_6a_main20,apple,T3r,cv,3,0.11853784248232842
precise_6a_main20,apple,T3r,cv,4,0.17884404510259627
precise_6a_main20,apple,T3r,cv,5,0.1678336888551712
precise_6a_main20,apple,T3r,cv,6,0.08960246294736862
precise_6a_main20,apple,T3r,cv,7,0.2137736350297928
precise_6a_main20,apple,T3r,cv,8,0.10073259249329566
precise_6a_main20,apple,T3r,cv,9,0.25326565355062486
precise_6a_main20,apple,T3r,cv,10,0.026801935210824013
precise_6a_main20,apple,T3r,cv,11,0.1400320276618004
precise_6a_main20,apple,T3r,cv,12,0.17487537264823913
precise_6a_main20,apple,T3r,cv,13,0.04049496911466122
precise_6a_main20,apple,T3r,cv,14,0.11569070145487785
precise_6a_main20,apple,T3r,cv,15,0.17353131920099257
precise_6a_main20,apple,T3r,cv,16,0.28095889985561373
precise_6a_main20,apple,T3r,cv,17,0.2800817310810089
precise_6a_main20,apple,T3r,cv,18,0.0258543336763978
precise_6a_main20,apple,T3r,cv,19,0.2524109184741974
precise_6a_main20,apple,T3r,div,0,0.00934488046914339
precise_6a_main20,apple,T3r,div,1,0.01573438197374344
precise_6a_main20,apple,T3r,div,2,0.011930863372981548
precise_6a_main20,apple,T3r,div,3,0.011527985334396362
precise_6a_main20,apple,T3r,div,4,0.01353207416832447
precise_6a_main20,apple,T3r,div,5,0.009603877551853657
precise_6a_main20,apple,S3b,cv,0,0.19599578827619552
precise_6a_main20,apple,S3b,cv,1,0.24417484998703004
precise_6a_main20,apple,S3b,cv,2,0.1744169518351555
precise_6a_main20,apple,S3b,cv,3,0.17471675723791122
precise_6a_main20,apple,S3b,cv,4,0.1563426673412323
precise_6a_main20,apple,S3b,cv,5,0.1338684618473053
precise_6a_main20,apple,S3b,cv,6,0.09443900361657143
precise_6a_main20,apple,S3b,cv,7,0.13688644096255304
precise_6a_main20,apple,S3b,cv,8,0.11251152530312539
precise_6a_main20,apple,S3b,cv,9,0.18947064727544785
precise_6a_main20,apple,S3b,cv,10,0.038840876147150996
precise_6a_main20,apple,S3b,cv,11,0.1012710228562355
precise_6a_main20,apple,S3b,cv,12,0.15765027403831483
precise_6a_main20,apple,S3b,cv,13,0.04997759722173214
precise_6a_main20,apple,S3b,cv,14,0.0848063014447689
precise_6a_main20,apple,S3b,cv,15,0.1624188780784607
precise_6a_main20,apple,S3b,cv,16,0.16352900713682175
precise_6a_main20,apple,S3b,cv,17,0.15899769067764283
precise_6a_main20,apple,S3b,cv,18,0.037918486446142194
precise_6a_main20,apple,S3b,cv,19,0.14268759191036223
precise_6a_main20,apple,S3b,div,0,0.022597650066018105
precise_6a_main20,apple,S3b,div,1,0.024658311158418655
precise_6a_main20,apple,S3b,div,2,0.022559817880392075
precise_6a_main20,apple,S3b,div,3,0.018375398591160774
precise_6a_main20,apple,S3b,div,4,0.024710845202207565
precise_6a_main20,apple,S3b,div,5,0.02104874700307846
precise_6a_main20,apple,S1b,cv,0,0.18287666290998458
precise_6a_main20,apple,S1b,cv,1,0.22066680192947388
precise_6a_main20,apple,S1b,cv,2,0.17873698323965073
precise_6a_main20,apple,S1b,cv,3,0.17238176614046097
precise_6a_main20,apple,S1b,cv,4,0.1778145417571068
precise_6a_main20,apple,S1b,cv,5,0.14182622283697127
precise_6a_main20,apple,S1b,cv,6,0.15131751596927642
precise_6a_main20,apple,S1b,cv,7,0.18393715023994445
precise_6a_main20,apple,S1b,cv,8,0.16168862730264663
precise_6a_main20,apple,S1b,cv,9,0.2349713623523712
precise_6a_main20,apple,S1b,cv,10,0.04241842404007912
precise_6a_main20,apple,S1b,cv,11,0.11616194695234298
precise_6a_main20,apple,S1b,cv,12,0.17795607447624207
precise_6a_main20,apple,S1b,cv,13,0.062204276025295255
precise_6a_main20,apple,S1b,cv,14,0.11146078407764434
precise_6a_main20,apple,S1b,cv,15,0.172893026471138
precise_6a_main20,apple,S1b,cv,16,0.2689409241080284
precise_6a_main20,apple,S1b,cv,17,0.2711442023515701
precise_6a_main20,apple,S1b,cv,18,0.03540239483118057
precise_6a_main20,apple,S1b,cv,19,0.21748941838741304
precise_6a_main20,apple,S1b,div,0,0.011078625917434692
precise_6a_main20,apple,S1b,div,1,0.013877782970666885
precise_6a_main20,apple,S1b,div,2,0.009043517522513866
precise_6a_main20,apple,S1b,div,3,0.012473667971789837
precise_6a_main20,apple,S1b,div,4,0.010341658256947994
precise_6a_main20,apple,S1b,div,5,0.01202827412635088
