run,task,config,kind,index,value
precise_6a_renoise,apple,T25,cv,0,0.27770662009716035
precise_6a_renoise,apple,T25,cv,1,0.2465529665350914
precise_6a_renoise,apple,T25,cv,2,0.17759046852588653
precise_6a_renoise,apple,T25,cv,3,0.10241553485393524
precise_6a_renoise,apple,T25,cv,4,0.17847023755311966
precise_6a_renoise,apple,T25,cv,5,0.17047035247087478
precise_6a_renoise,apple,T25,cv,6,0.09973036646842956
precise_6a_renoise,apple,T25,cv,7,0.21420893222093582
precise_6a_renoise,apple,T25,cv,8,0.11490554288029671
precise_6a_renoise,apple,T25,cv,9,0.24610851407051088
precise_6a_renoise,apple,T25,div,0,0.018642228096723557
precise_6a_renoise,apple,T25,div,1,0.02776273339986801
precise_6a_renoise,apple,T25,div,2,0.021427452564239502
precise_6a_renoise,apple,T25,div,3,0.02191176451742649
precise_6a_renoise,apple,T25,div,4,0.02390594407916069
precise_6a_renoise,apple,T25,div,5,0.02263631671667099
precise_6a_renoise,apple,T3r,cv,0,0.2605026066303253
precise_6a_renoise,apple,T3r,cv,1,0.2571869969367981
precise_6a_renoise,apple,T3r,cv,2,0.1829565465450287
precise_6a_renoise,apple,T3r,cv,3,0.11853784248232842
precise_6a_renoise,apple,T3r,cv,4,0.17884404510259627
precise_6a_renoise,apple,T3r,cv,5,0.1678336888551712
precise_6a_renoise,apple,T3r,cv,6,0.08960246294736862
precise_6a_renoise,apple,T3r,cv,7,0.2137736350297928
precise_6a_renoise,apple,T3r,cv,8,0.10073259249329566
precise_6a_renoise,apple,T3r,cv,9,0.25326565355062486
precise_6a_renoise,apple,T3r,div,0,0.00934488046914339
precise_6a_renoise,apple,T3r,div,1,0.01573438197374344
precise_6a_renoise,apple,T3r,div,2,0.011930863372981548
precise_6a_renoise,apple,T3r,div,3,0.011527985334396362
precise_6a_renoise,apple,T3r,div,4,0.01353207416832447
precise_6a_renoise,apple,T3r,div,5,0.009603877551853657
precise_6a_renoise,apple,T1r,cv,0,0.25685215592384336
precise_6a_renoise,apple,T1r,cv,1,0.26508101522922517
precise_6a_renoise,apple,T1r,cv,2,0.1879885122179985
precise_6a_renoise,apple,T1r,cv,3,0.1496333971619606
precise_6a_renoise,apple,T1r,cv,4,0.18793453127145768
precise_6a_renoise,apple,T1r,cv,5,0.16539521515369415
precise_6a_renoise,apple,T1r,cv,6,0.08351021930575371
precise_6a_renoise,apple,T1r,cv,7,0.20975953042507173
precise_6a_renoise,apple,T1r,cv,8,0.08931337669491768
precise_6a_renoise,apple,T1r,cv,9,0.26455723494291306
precise_6a_renoise,apple,T1r,div,0,0.0045029581524431705
precise_6a_renoise,apple,T1r,div,1,0.0075054834596812725
precise_6a_renoise,apple,T1r,div,2,0.004057919140905142
precise_6a_renoise,apple,T1r,div,3,0.004051385913044214
precise_6a_renoise,apple,T1r,div,4,0.004026574082672596
precise_6a_renoise,apple,T1r,div,5,0.005359155125916004
precise_6a_renoise,apple,S3,cv,0,0.22961835265159608
precise_6a_renoise,apple,S3,cv,1,0.3007487505674362
precise_6a_renoise,apple,S3,cv,2,0.22634227126836776
precise_6a_renoise,apple,S3,cv,3,0.22380875200033187
precise_6a_renoise,apple,S3,cv,4,0.17596276700496674
precise_6a_renoise,apple,S3,cv,5,0.15421915724873542
precise_6a_renoise,apple,S3,cv,6,0.12979454249143602
precise_6a_renoise,apple,S3,cv,7,0.14654918611049653
precise_6a_renoise,apple,S3,cv,8,0.14681094884872437
precise_6a_renoise,apple,S3,cv,9,0.22974398285150527
precise_6a_renoise,apple,S3,div,0,0.022597650066018105
precise_6a_renoise,apple,S3,div,1,0.024658311158418655
precise_6a_renoise,apple,S3,div,2,0.022559817880392075
precise_6a_renoise,apple,S3,div,3,0.018375398591160774
precise_6a_renoise,apple,S3,div,4,0.024710845202207565
precise_6a_renoise,apple,S3,div,5,0.02104874700307846
precise_6a_renoise,apple,S1,cv,0,0.20268976986408233
precise_6a_renoise,apple,S1,cv,1,0.24626536965370177
precise_6a_renoise,apple,S1,cv,2,0.21195604801177978
precise_6a_renoise,apple,S1,cv,3,0.22543877512216567
precise_6a_renoise,apple,S1,cv,4,0.2033067002892494
precise_6a_renoise,apple,S1,cv,5,0.15231739580631257
precise_6a_renoise,apple,S1,cv,6,0.18054700195789336
precise_6a_renoise,apple,S1,cv,7,0.18654853701591492
precise_6a_renoise,apple,S1,cv,8,0.1966960310935974
precise_6a_renoise,apple,S1,cv,9,0.3010061293840408
precise_6a_renoise,apple,S1,div,0,0.011078625917434692
precise_6a_renoise,apple,S1,div,1,0.013877782970666885
precise_6a_renoise,apple,S1,div,2,0.009043517522513866
precise_6a_renoise,apple,S1,div,3,0.012473667971789837
precise_6a_renoise,apple,S1,div,4,0.010341658256947994
precise_6a_renoise,apple,S1,div,5,0.01202827412635088
