=== 추론 시 스케일 보정 (조건 프레임 포인트맵 기준, 학습 없음) — 배치 10=뷰 20, data_seed 1234 ===
조건 프레임 vs GT 프레임0 AbsRel: T25행 0.3180 (0에 가까우면 조건 프레임=프레임0)

설정 | raw | cond-scale | cond-affine | oracle-scale(프레임0 GT) | oracle-scale(전 프레임 GT) | s_cond | s_oracle0
T25 | 0.2492 | 0.3778 | 1.4111 | 0.2391 | 0.2411 | 1.027 | 0.990
 S3 | 0.4567 | 0.4780 | 1.9288 | 0.3324 | 0.3248 | 0.906 | 0.905

[paired S3 − T25] 정렬 | 평균차 ± std | S3 우수 샘플 | raw 격차 대비 잔존율
              raw | +0.2075 ± 0.3117 | 0% | 100%
       cond_scale | +0.1002 ± 0.2225 | 25% | 48%
      cond_affine | +0.5177 ± 2.2735 | 25% | 249%
    oracle_scale0 | +0.0933 ± 0.1186 | 15% | 45%
 oracle_scale_all | +0.0837 ± 0.1058 | 15% | 40%

[S3 자체 개선] raw→cond-scale +0.0213 (+1%), raw→cond-affine +1.4720 (+82%)

[샘플별 S3] view | raw | cond-scale | cond-affine | oracle0 | s_cond | s_oracle0
0/l | 0.153 | 0.091 | 0.108 | 0.091 | 0.900 | 0.901
0/r | 0.336 | 0.333 | 1.486 | 0.376 | 0.987 | 1.129
1/l | 0.166 | 0.121 | 0.117 | 0.121 | 0.905 | 0.906
1/r | 0.180 | 0.335 | 0.150 | 0.147 | 0.635 | 0.883
2/l | 0.202 | 0.124 | 0.123 | 0.125 | 0.860 | 0.865
2/r | 0.196 | 0.214 | 0.392 | 0.125 | 0.693 | 0.836
3/l | 0.178 | 0.099 | 0.116 | 0.100 | 0.884 | 0.885
3/r | 0.292 | 0.584 | 0.650 | 0.137 | 1.245 | 0.833
4/l | 0.134 | 0.071 | 0.103 | 0.072 | 0.909 | 0.910
4/r | 0.167 | 0.185 | 0.552 | 0.160 | 0.848 | 0.958
5/l | 0.080 | 0.059 | 0.062 | 0.059 | 0.964 | 0.964
5/r | 0.524 | 0.494 | 0.627 | 0.683 | 0.902 | 1.307
6/l | 0.203 | 0.082 | 0.093 | 0.082 | 0.867 | 0.867
6/r | 0.315 | 0.414 | 0.515 | 0.087 | 1.083 | 0.758
7/l | 0.087 | 0.070 | 0.069 | 0.071 | 0.961 | 0.963
7/r | 0.196 | 0.499 | 0.324 | 0.194 | 0.558 | 0.992
8/l | 0.116 | 0.069 | 0.070 | 0.069 | 0.918 | 0.918
8/r | 3.978 | 3.839 | 23.054 | 3.258 | 0.971 | 0.841
9/l | 0.139 | 0.074 | 0.083 | 0.074 | 0.908 | 0.910
9/r | 1.491 | 1.802 | 9.881 | 0.618 | 1.128 | 0.474
