=== 추론 시 스케일 보정 v2 (왼쪽 조건 프레임 스케일을 양 뷰에 적용) — 배치 10=뷰 20, data_seed 1234 ===

[left] 설정 | raw | own-scale | LEFT-scale | oracle0 | oracle-all | oracle-affine | s_own | s_left | s_oracle0 | cond vs gt0
  T25 | 0.0803 | 0.0723 | 0.0723 | 0.0722 | 0.0717 | 0.0964 | 0.975 | 0.975 | 0.976 | 0.0128
   S3 | 0.1459 | 0.0861 | 0.0861 | 0.0864 | 0.0844 | 0.0969 | 0.908 | 0.908 | 0.909 | 0.0128
  [paired S3−T25] raw +0.0655 | own_scale +0.0138 | left_scale +0.0138 | oracle_scale0 +0.0142 | oracle_scale_all +0.0127 | oracle_affine +0.0005

[right] 설정 | raw | own-scale | LEFT-scale | oracle0 | oracle-all | oracle-affine | s_own | s_left | s_oracle0 | cond vs gt0
  T25 | 0.4181 | 0.6832 | 0.4171 | 0.4060 | 0.4104 | 0.3971 | 1.079 | 0.975 | 1.005 | 0.6231
   S3 | 0.7676 | 0.8699 | 0.6645 | 0.5785 | 0.5651 | 0.4819 | 0.905 | 0.908 | 0.901 | 0.6231
  [paired S3−T25] raw +0.3495 | own_scale +0.1867 | left_scale +0.2474 | oracle_scale0 +0.1725 | oracle_scale_all +0.1547 | oracle_affine +0.0848

[all] 설정 | raw | own-scale | LEFT-scale | oracle0 | oracle-all | oracle-affine | s_own | s_left | s_oracle0 | cond vs gt0
  T25 | 0.2492 | 0.3778 | 0.2447 | 0.2391 | 0.2411 | 0.2467 | 1.027 | 0.975 | 0.990 | 0.3180
   S3 | 0.4567 | 0.4780 | 0.3753 | 0.3324 | 0.3248 | 0.2894 | 0.906 | 0.908 | 0.905 | 0.3180
  [paired S3−T25] raw +0.2075 | own_scale +0.1002 | left_scale +0.1306 | oracle_scale0 +0.0933 | oracle_scale_all +0.0837 | oracle_affine +0.0427

[S3 자체 개선, 뷰별] left: raw→LEFT-scale -0.0597 (-39%), 개선 샘플 100% | right: raw→LEFT-scale -0.1031 (-18%), 개선 샘플 100%

[샘플별] view | T25 raw/LEFT/oracle0 | S3 raw/LEFT/oracle0 | S3 s_left/s_oracle0
0/l | 0.068/0.058/0.058 | 0.153/0.091/0.091 | 0.900/0.901
0/r | 0.194/0.182/0.176 | 0.336/0.318/0.376 | 0.900/1.129
1/l | 0.133/0.118/0.118 | 0.166/0.121/0.121 | 0.905/0.906
1/r | 0.069/0.095/0.066 | 0.180/0.151/0.147 | 0.905/0.883
2/l | 0.173/0.136/0.135 | 0.202/0.124/0.125 | 0.860/0.865
2/r | 0.067/0.058/0.043 | 0.196/0.129/0.125 | 0.860/0.836
3/l | 0.049/0.049/0.049 | 0.178/0.099/0.100 | 0.884/0.885
3/r | 0.079/0.092/0.076 | 0.292/0.166/0.137 | 0.884/0.833
4/l | 0.064/0.062/0.063 | 0.134/0.071/0.072 | 0.909/0.910
4/r | 0.083/0.092/0.075 | 0.167/0.157/0.160 | 0.909/0.958
5/l | 0.049/0.048/0.048 | 0.080/0.059/0.059 | 0.964/0.964
5/r | 0.311/0.308/0.335 | 0.524/0.508/0.683 | 0.964/1.307
6/l | 0.101/0.086/0.086 | 0.203/0.082/0.082 | 0.867/0.867
6/r | 0.055/0.040/0.039 | 0.315/0.162/0.087 | 0.867/0.758
7/l | 0.050/0.049/0.049 | 0.087/0.070/0.071 | 0.961/0.963
7/r | 0.102/0.108/0.072 | 0.196/0.191/0.194 | 0.961/0.992
8/l | 0.070/0.069/0.069 | 0.116/0.069/0.069 | 0.918/0.918
8/r | 2.829/2.812/2.868 | 3.978/3.589/3.258 | 0.918/0.841
9/l | 0.047/0.047/0.047 | 0.139/0.074/0.074 | 0.908/0.910
9/r | 0.394/0.385/0.309 | 1.491/1.273/0.618 | 0.908/0.474
