=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.4 | 20.25 | 0.1176 (L 0.0994/R 0.1358) | 0.1623 | 0.00960 | 0.1725 | 0.02501
 S3b |   4.4 | 20.25 | 0.0895 (L 0.0856/R 0.0934) | 0.1623 | 0.00960 | 0.1632 | 0.02501

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.3630 ± 0.7285 |  37.5% | 0.005
  PSNR |  S3b | -0.3630 ± 0.7285 |  37.5% | 0.005
AbsRel |   S3 | +0.0512 ± 0.0574 |   7.5% | 0.000
AbsRel |  S3b | +0.0231 ± 0.0260 |  17.5% | 0.000
 LPIPS |   S3 | +0.0444 ± 0.0119 |   0.0% | 0.000
 LPIPS |  S3b | +0.0444 ± 0.0119 |   0.0% | 0.000
 sharp |   S3 | -0.0038 ± 0.0008 |   0.0% | 0.000
 sharp |  S3b | -0.0038 ± 0.0008 |   0.0% | 0.000
    CV |   S3 | +0.0031 ± 0.0553 |  45.0% | 0.784
    CV |  S3b | -0.0062 ± 0.0488 |  55.0% | 0.812
   div |   S3 | +0.0023 ± 0.0029 |  66.7% | 0.156
   div |  S3b | +0.0023 ± 0.0029 |  66.7% | 0.156

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.107 | 0.094
0/r | 0.094 | 0.199 | 0.178
1/l | 0.133 | 0.143 | 0.134
1/r | 0.035 | 0.136 | 0.084
2/l | 0.173 | 0.183 | 0.157
2/r | 0.067 | 0.165 | 0.067
3/l | 0.049 | 0.118 | 0.097
3/r | 0.079 | 0.199 | 0.148
4/l | 0.064 | 0.104 | 0.095
4/r | 0.076 | 0.099 | 0.094
5/l | 0.049 | 0.070 | 0.068
5/r | 0.073 | 0.070 | 0.064
6/l | 0.101 | 0.154 | 0.111
6/r | 0.055 | 0.256 | 0.118
7/l | 0.050 | 0.080 | 0.083
7/r | 0.066 | 0.088 | 0.063
8/l | 0.070 | 0.082 | 0.078
8/r | 0.047 | 0.139 | 0.079
9/l | 0.047 | 0.084 | 0.076
9/r | 0.053 | 0.109 | 0.092
10/l | 0.046 | 0.095 | 0.058
10/r | 0.038 | 0.165 | 0.114
11/l | 0.091 | 0.106 | 0.110
11/r | 0.100 | 0.121 | 0.127
12/l | 0.037 | 0.059 | 0.058
12/r | 0.071 | 0.077 | 0.053
13/l | 0.039 | 0.061 | 0.060
13/r | 0.047 | 0.070 | 0.062
14/l | 0.067 | 0.133 | 0.098
14/r | 0.086 | 0.368 | 0.140
15/l | 0.044 | 0.067 | 0.065
15/r | 0.079 | 0.083 | 0.059
16/l | 0.046 | 0.066 | 0.064
16/r | 0.072 | 0.070 | 0.064
17/l | 0.046 | 0.074 | 0.073
17/r | 0.072 | 0.070 | 0.071
18/l | 0.060 | 0.099 | 0.065
18/r | 0.032 | 0.157 | 0.111
19/l | 0.066 | 0.104 | 0.069
19/r | 0.068 | 0.075 | 0.080

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
