=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.4 | 20.41 | 0.1022 (L 0.0912/R 0.1133) | 0.1478 | 0.01096 | 0.1779 | 0.02257
 S3b |   4.4 | 20.41 | 0.0814 (L 0.0807/R 0.0821) | 0.1478 | 0.01096 | 0.1725 | 0.02257

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.2071 ± 0.6288 |  30.0% | 0.034
  PSNR |  S3b | -0.2071 ± 0.6288 |  30.0% | 0.034
AbsRel |   S3 | +0.0358 ± 0.0483 |  20.0% | 0.000
AbsRel |  S3b | +0.0150 ± 0.0211 |  22.5% | 0.000
 LPIPS |   S3 | +0.0299 ± 0.0094 |   0.0% | 0.000
 LPIPS |  S3b | +0.0299 ± 0.0094 |   0.0% | 0.000
 sharp |   S3 | -0.0024 ± 0.0007 |   0.0% | 0.000
 sharp |  S3b | -0.0024 ± 0.0007 |   0.0% | 0.000
    CV |   S3 | +0.0085 ± 0.0481 |  40.0% | 0.571
    CV |  S3b | +0.0031 ± 0.0416 |  45.0% | 0.729
   div |   S3 | -0.0001 ± 0.0024 |  50.0% | 1.000
   div |  S3b | -0.0001 ± 0.0024 |  50.0% | 1.000

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.094 | 0.087
0/r | 0.094 | 0.152 | 0.138
1/l | 0.133 | 0.132 | 0.125
1/r | 0.035 | 0.092 | 0.055
2/l | 0.173 | 0.177 | 0.150
2/r | 0.067 | 0.129 | 0.063
3/l | 0.049 | 0.107 | 0.091
3/r | 0.079 | 0.165 | 0.129
4/l | 0.064 | 0.097 | 0.092
4/r | 0.076 | 0.087 | 0.091
5/l | 0.049 | 0.063 | 0.066
5/r | 0.073 | 0.069 | 0.063
6/l | 0.101 | 0.145 | 0.105
6/r | 0.055 | 0.225 | 0.101
7/l | 0.050 | 0.077 | 0.081
7/r | 0.066 | 0.065 | 0.066
8/l | 0.070 | 0.082 | 0.077
8/r | 0.047 | 0.115 | 0.067
9/l | 0.047 | 0.074 | 0.070
9/r | 0.053 | 0.089 | 0.068
10/l | 0.046 | 0.073 | 0.054
10/r | 0.038 | 0.136 | 0.102
11/l | 0.091 | 0.109 | 0.113
11/r | 0.100 | 0.126 | 0.130
12/l | 0.037 | 0.055 | 0.051
12/r | 0.071 | 0.052 | 0.052
13/l | 0.039 | 0.058 | 0.054
13/r | 0.047 | 0.058 | 0.053
14/l | 0.067 | 0.119 | 0.086
14/r | 0.086 | 0.325 | 0.126
15/l | 0.044 | 0.064 | 0.061
15/r | 0.079 | 0.060 | 0.060
16/l | 0.046 | 0.062 | 0.058
16/r | 0.072 | 0.065 | 0.055
17/l | 0.046 | 0.069 | 0.068
17/r | 0.072 | 0.064 | 0.059
18/l | 0.060 | 0.080 | 0.060
18/r | 0.032 | 0.125 | 0.093
19/l | 0.066 | 0.085 | 0.064
19/r | 0.068 | 0.067 | 0.070

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
