=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step2400.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  25.1 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.5 | 20.45 | 0.0951 (L 0.0863/R 0.1039) | 0.1426 | 0.01165 | 0.1803 | 0.02185
 S3b |   4.5 | 20.45 | 0.0797 (L 0.0789/R 0.0806) | 0.1426 | 0.01165 | 0.1780 | 0.02185

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.1709 ± 0.6038 |  35.0% | 0.048
  PSNR |  S3b | -0.1709 ± 0.6038 |  35.0% | 0.048
AbsRel |   S3 | +0.0287 ± 0.0407 |  17.5% | 0.000
AbsRel |  S3b | +0.0133 ± 0.0190 |  25.0% | 0.000
 LPIPS |   S3 | +0.0246 ± 0.0087 |   0.0% | 0.000
 LPIPS |  S3b | +0.0246 ± 0.0087 |   0.0% | 0.000
 sharp |   S3 | -0.0017 ± 0.0008 |   2.5% | 0.000
 sharp |  S3b | -0.0017 ± 0.0008 |   2.5% | 0.000
    CV |   S3 | +0.0110 ± 0.0473 |  35.0% | 0.475
    CV |  S3b | +0.0086 ± 0.0409 |  35.0% | 0.452
   div |   S3 | -0.0009 ± 0.0023 |  50.0% | 0.562
   div |  S3b | -0.0009 ± 0.0023 |  50.0% | 0.562

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.087 | 0.084
0/r | 0.094 | 0.126 | 0.123
1/l | 0.133 | 0.127 | 0.122
1/r | 0.035 | 0.070 | 0.055
2/l | 0.173 | 0.174 | 0.148
2/r | 0.067 | 0.109 | 0.070
3/l | 0.049 | 0.098 | 0.086
3/r | 0.079 | 0.148 | 0.123
4/l | 0.064 | 0.092 | 0.089
4/r | 0.076 | 0.091 | 0.096
5/l | 0.049 | 0.061 | 0.064
5/r | 0.073 | 0.065 | 0.065
6/l | 0.101 | 0.135 | 0.099
6/r | 0.055 | 0.202 | 0.097
7/l | 0.050 | 0.076 | 0.080
7/r | 0.066 | 0.068 | 0.068
8/l | 0.070 | 0.081 | 0.079
8/r | 0.047 | 0.099 | 0.063
9/l | 0.047 | 0.069 | 0.069
9/r | 0.053 | 0.079 | 0.063
10/l | 0.046 | 0.064 | 0.053
10/r | 0.038 | 0.114 | 0.094
11/l | 0.091 | 0.109 | 0.114
11/r | 0.100 | 0.124 | 0.132
12/l | 0.037 | 0.051 | 0.050
12/r | 0.071 | 0.058 | 0.056
13/l | 0.039 | 0.055 | 0.054
13/r | 0.047 | 0.052 | 0.051
14/l | 0.067 | 0.115 | 0.084
14/r | 0.086 | 0.293 | 0.119
15/l | 0.044 | 0.062 | 0.060
15/r | 0.079 | 0.069 | 0.065
16/l | 0.046 | 0.059 | 0.057
16/r | 0.072 | 0.070 | 0.057
17/l | 0.046 | 0.064 | 0.065
17/r | 0.072 | 0.070 | 0.059
18/l | 0.060 | 0.071 | 0.058
18/r | 0.032 | 0.104 | 0.086
19/l | 0.066 | 0.076 | 0.062
19/r | 0.068 | 0.067 | 0.069

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
