=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step3200.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  25.1 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.5 | 20.45 | 0.0978 (L 0.0928/R 0.1028) | 0.1351 | 0.01349 | 0.1846 | 0.02129
 S3b |   4.5 | 20.45 | 0.0777 (L 0.0760/R 0.0795) | 0.1351 | 0.01349 | 0.1809 | 0.02129

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.1627 ± 0.5508 |  32.5% | 0.070
  PSNR |  S3b | -0.1627 ± 0.5508 |  32.5% | 0.070
AbsRel |   S3 | +0.0314 ± 0.0352 |  12.5% | 0.000
AbsRel |  S3b | +0.0113 ± 0.0161 |  27.5% | 0.000
 LPIPS |   S3 | +0.0172 ± 0.0081 |   2.5% | 0.000
 LPIPS |  S3b | +0.0172 ± 0.0081 |   2.5% | 0.000
 sharp |   S3 | +0.0001 ± 0.0008 |  47.5% | 0.936
 sharp |  S3b | +0.0001 ± 0.0008 |  47.5% | 0.936
    CV |   S3 | +0.0152 ± 0.0398 |  35.0% | 0.154
    CV |  S3b | +0.0115 ± 0.0354 |  45.0% | 0.294
   div |   S3 | -0.0014 ± 0.0028 |  50.0% | 0.438
   div |  S3b | -0.0014 ± 0.0028 |  50.0% | 0.438

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.089 | 0.078
0/r | 0.094 | 0.113 | 0.109
1/l | 0.133 | 0.131 | 0.119
1/r | 0.035 | 0.077 | 0.064
2/l | 0.173 | 0.180 | 0.144
2/r | 0.067 | 0.101 | 0.076
3/l | 0.049 | 0.097 | 0.074
3/r | 0.079 | 0.160 | 0.130
4/l | 0.064 | 0.098 | 0.086
4/r | 0.076 | 0.103 | 0.104
5/l | 0.049 | 0.063 | 0.065
5/r | 0.073 | 0.076 | 0.072
6/l | 0.101 | 0.144 | 0.095
6/r | 0.055 | 0.169 | 0.068
7/l | 0.050 | 0.078 | 0.077
7/r | 0.066 | 0.072 | 0.070
8/l | 0.070 | 0.090 | 0.075
8/r | 0.047 | 0.099 | 0.054
9/l | 0.047 | 0.073 | 0.067
9/r | 0.053 | 0.091 | 0.068
10/l | 0.046 | 0.072 | 0.053
10/r | 0.038 | 0.105 | 0.079
11/l | 0.091 | 0.114 | 0.115
11/r | 0.100 | 0.137 | 0.139
12/l | 0.037 | 0.062 | 0.048
12/r | 0.071 | 0.063 | 0.062
13/l | 0.039 | 0.066 | 0.052
13/r | 0.047 | 0.053 | 0.046
14/l | 0.067 | 0.127 | 0.083
14/r | 0.086 | 0.274 | 0.106
15/l | 0.044 | 0.072 | 0.058
15/r | 0.079 | 0.075 | 0.074
16/l | 0.046 | 0.070 | 0.057
16/r | 0.072 | 0.063 | 0.062
17/l | 0.046 | 0.073 | 0.060
17/r | 0.072 | 0.063 | 0.063
18/l | 0.060 | 0.075 | 0.056
18/r | 0.032 | 0.089 | 0.066
19/l | 0.066 | 0.082 | 0.061
19/r | 0.068 | 0.073 | 0.075

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
