=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  25.1 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.5 | 20.28 | 0.0934 (L 0.0887/R 0.0982) | 0.1345 | 0.01511 | 0.1858 | 0.02178
 S3b |   4.5 | 20.28 | 0.0789 (L 0.0756/R 0.0822) | 0.1345 | 0.01511 | 0.1846 | 0.02178

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.3370 ± 0.5391 |  25.0% | 0.001
  PSNR |  S3b | -0.3370 ± 0.5391 |  25.0% | 0.001
AbsRel |   S3 | +0.0270 ± 0.0291 |  15.0% | 0.000
AbsRel |  S3b | +0.0125 ± 0.0173 |  27.5% | 0.000
 LPIPS |   S3 | +0.0166 ± 0.0081 |   2.5% | 0.000
 LPIPS |  S3b | +0.0166 ± 0.0081 |   2.5% | 0.000
 sharp |   S3 | +0.0017 ± 0.0008 | 100.0% | 0.000
 sharp |  S3b | +0.0017 ± 0.0008 | 100.0% | 0.000
    CV |   S3 | +0.0164 ± 0.0373 |  35.0% | 0.064
    CV |  S3b | +0.0153 ± 0.0349 |  45.0% | 0.097
   div |   S3 | -0.0009 ± 0.0030 |  50.0% | 0.562
   div |  S3b | -0.0009 ± 0.0030 |  50.0% | 0.562

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.081 | 0.075
0/r | 0.094 | 0.113 | 0.114
1/l | 0.133 | 0.130 | 0.121
1/r | 0.035 | 0.069 | 0.066
2/l | 0.173 | 0.174 | 0.143
2/r | 0.067 | 0.104 | 0.089
3/l | 0.049 | 0.088 | 0.072
3/r | 0.079 | 0.154 | 0.146
4/l | 0.064 | 0.089 | 0.084
4/r | 0.076 | 0.111 | 0.114
5/l | 0.049 | 0.062 | 0.064
5/r | 0.073 | 0.070 | 0.070
6/l | 0.101 | 0.132 | 0.091
6/r | 0.055 | 0.136 | 0.062
7/l | 0.050 | 0.076 | 0.075
7/r | 0.066 | 0.075 | 0.073
8/l | 0.070 | 0.085 | 0.070
8/r | 0.047 | 0.090 | 0.054
9/l | 0.047 | 0.065 | 0.067
9/r | 0.053 | 0.089 | 0.077
10/l | 0.046 | 0.069 | 0.057
10/r | 0.038 | 0.088 | 0.075
11/l | 0.091 | 0.115 | 0.116
11/r | 0.100 | 0.142 | 0.144
12/l | 0.037 | 0.061 | 0.048
12/r | 0.071 | 0.065 | 0.063
13/l | 0.039 | 0.065 | 0.053
13/r | 0.047 | 0.049 | 0.046
14/l | 0.067 | 0.118 | 0.079
14/r | 0.086 | 0.247 | 0.103
15/l | 0.044 | 0.072 | 0.059
15/r | 0.079 | 0.079 | 0.076
16/l | 0.046 | 0.070 | 0.059
16/r | 0.072 | 0.070 | 0.067
17/l | 0.046 | 0.074 | 0.062
17/r | 0.072 | 0.069 | 0.068
18/l | 0.060 | 0.070 | 0.057
18/r | 0.032 | 0.069 | 0.058
19/l | 0.066 | 0.077 | 0.063
19/r | 0.068 | 0.077 | 0.079

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
