=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step3200.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
  S3 |   4.4 | 20.18 | 0.0981 (L 0.0929/R 0.1033) | 0.1359 | 0.01553 | 0.1805 | 0.02174
 S3b |   4.4 | 20.18 | 0.0822 (L 0.0756/R 0.0887) | 0.1359 | 0.01553 | 0.1802 | 0.02174

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |   S3 | -0.4381 ± 0.5360 |  20.0% | 0.000
  PSNR |  S3b | -0.4381 ± 0.5360 |  20.0% | 0.000
AbsRel |   S3 | +0.0317 ± 0.0275 |   2.5% | 0.000
AbsRel |  S3b | +0.0158 ± 0.0200 |  22.5% | 0.000
 LPIPS |   S3 | +0.0180 ± 0.0080 |   0.0% | 0.000
 LPIPS |  S3b | +0.0180 ± 0.0080 |   0.0% | 0.000
 sharp |   S3 | +0.0021 ± 0.0008 | 100.0% | 0.000
 sharp |  S3b | +0.0021 ± 0.0008 | 100.0% | 0.000
    CV |   S3 | +0.0111 ± 0.0394 |  40.0% | 0.388
    CV |  S3b | +0.0108 ± 0.0381 |  45.0% | 0.368
   div |   S3 | -0.0010 ± 0.0033 |  50.0% | 0.688
   div |  S3b | -0.0010 ± 0.0033 |  50.0% | 0.688

[샘플별 AbsRel] batch/view | T25 | S3 | S3b
0/l | 0.068 | 0.087 | 0.075
0/r | 0.094 | 0.119 | 0.120
1/l | 0.133 | 0.136 | 0.123
1/r | 0.035 | 0.090 | 0.084
2/l | 0.173 | 0.184 | 0.145
2/r | 0.067 | 0.117 | 0.098
3/l | 0.049 | 0.094 | 0.073
3/r | 0.079 | 0.162 | 0.162
4/l | 0.064 | 0.089 | 0.079
4/r | 0.076 | 0.124 | 0.129
5/l | 0.049 | 0.066 | 0.064
5/r | 0.073 | 0.074 | 0.073
6/l | 0.101 | 0.139 | 0.092
6/r | 0.055 | 0.131 | 0.064
7/l | 0.050 | 0.079 | 0.074
7/r | 0.066 | 0.077 | 0.078
8/l | 0.070 | 0.087 | 0.067
8/r | 0.047 | 0.094 | 0.058
9/l | 0.047 | 0.067 | 0.063
9/r | 0.053 | 0.092 | 0.094
10/l | 0.046 | 0.072 | 0.057
10/r | 0.038 | 0.087 | 0.076
11/l | 0.091 | 0.121 | 0.118
11/r | 0.100 | 0.158 | 0.145
12/l | 0.037 | 0.066 | 0.049
12/r | 0.071 | 0.067 | 0.065
13/l | 0.039 | 0.071 | 0.054
13/r | 0.047 | 0.054 | 0.050
14/l | 0.067 | 0.119 | 0.077
14/r | 0.086 | 0.235 | 0.110
15/l | 0.044 | 0.077 | 0.062
15/r | 0.079 | 0.080 | 0.078
16/l | 0.046 | 0.077 | 0.062
16/r | 0.072 | 0.075 | 0.071
17/l | 0.046 | 0.080 | 0.062
17/r | 0.072 | 0.073 | 0.072
18/l | 0.060 | 0.071 | 0.055
18/r | 0.032 | 0.073 | 0.060
19/l | 0.066 | 0.079 | 0.061
19/r | 0.068 | 0.087 | 0.087

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
