=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S4b |   4.6 | 20.24 | 0.0749 (L 0.0686/R 0.0812) | 0.1326 | 0.01363 | 0.1429 | 0.02398
 A4b |   4.6 | 20.76 | 0.0818 (L 0.0787/R 0.0849) | 0.1424 | 0.01312 | 0.1433 | 0.01715
 A6b |   4.8 | 20.48 | 0.0733 (L 0.0681/R 0.0785) | 0.1367 | 0.01337 | 0.1440 | 0.01959

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S4b | -0.3770 ± 0.5243 |  25.0% | 0.000
  PSNR |  A4b | +0.1410 ± 0.5823 |  57.5% | 0.116
  PSNR |  A6b | -0.1348 ± 0.5439 |  40.0% | 0.136
AbsRel |  S4b | +0.0085 ± 0.0229 |  27.5% | 0.016
AbsRel |  A4b | +0.0154 ± 0.0201 |  22.5% | 0.000
AbsRel |  A6b | +0.0069 ± 0.0214 |  30.0% | 0.023
 LPIPS |  S4b | +0.0147 ± 0.0067 |   0.0% | 0.000
 LPIPS |  A4b | +0.0244 ± 0.0109 |   2.5% | 0.000
 LPIPS |  A6b | +0.0187 ± 0.0077 |   0.0% | 0.000
 sharp |  S4b | +0.0002 ± 0.0008 |  55.0% | 0.076
 sharp |  A4b | -0.0003 ± 0.0008 |  27.5% | 0.010
 sharp |  A6b | -0.0000 ± 0.0008 |  47.5% | 0.485
    CV |  S4b | -0.0265 ± 0.0495 |  70.0% | 0.019
    CV |  A4b | -0.0260 ± 0.0492 |  60.0% | 0.044
    CV |  A6b | -0.0254 ± 0.0473 |  70.0% | 0.024
   div |  S4b | +0.0013 ± 0.0030 |  50.0% | 0.562
   div |  A4b | -0.0056 ± 0.0023 |   0.0% | 0.031
   div |  A6b | -0.0031 ± 0.0025 |  16.7% | 0.062

[샘플별 AbsRel] batch/view | T25 | S4b | A4b | A6b
0/l | 0.068 | 0.087 | 0.097 | 0.086
0/r | 0.094 | 0.113 | 0.109 | 0.104
1/l | 0.133 | 0.102 | 0.125 | 0.102
1/r | 0.035 | 0.045 | 0.057 | 0.044
2/l | 0.173 | 0.118 | 0.131 | 0.115
2/r | 0.067 | 0.055 | 0.067 | 0.056
3/l | 0.049 | 0.094 | 0.110 | 0.090
3/r | 0.079 | 0.134 | 0.123 | 0.128
4/l | 0.064 | 0.068 | 0.079 | 0.066
4/r | 0.076 | 0.106 | 0.103 | 0.102
5/l | 0.049 | 0.050 | 0.060 | 0.052
5/r | 0.073 | 0.072 | 0.064 | 0.068
6/l | 0.101 | 0.067 | 0.088 | 0.075
6/r | 0.055 | 0.102 | 0.108 | 0.088
7/l | 0.050 | 0.070 | 0.071 | 0.070
7/r | 0.066 | 0.079 | 0.077 | 0.081
8/l | 0.070 | 0.072 | 0.082 | 0.069
8/r | 0.047 | 0.057 | 0.056 | 0.052
9/l | 0.047 | 0.077 | 0.084 | 0.072
9/r | 0.053 | 0.071 | 0.080 | 0.074
10/l | 0.046 | 0.050 | 0.057 | 0.050
10/r | 0.038 | 0.069 | 0.085 | 0.070
11/l | 0.091 | 0.100 | 0.106 | 0.102
11/r | 0.100 | 0.157 | 0.153 | 0.159
12/l | 0.037 | 0.048 | 0.050 | 0.043
12/r | 0.071 | 0.050 | 0.066 | 0.049
13/l | 0.039 | 0.052 | 0.052 | 0.047
13/r | 0.047 | 0.051 | 0.048 | 0.043
14/l | 0.067 | 0.054 | 0.085 | 0.069
14/r | 0.086 | 0.083 | 0.100 | 0.096
15/l | 0.044 | 0.055 | 0.055 | 0.050
15/r | 0.079 | 0.065 | 0.079 | 0.064
16/l | 0.046 | 0.055 | 0.064 | 0.053
16/r | 0.072 | 0.074 | 0.071 | 0.069
17/l | 0.046 | 0.049 | 0.059 | 0.049
17/r | 0.072 | 0.085 | 0.083 | 0.077
18/l | 0.060 | 0.054 | 0.059 | 0.051
18/r | 0.032 | 0.064 | 0.076 | 0.061
19/l | 0.066 | 0.049 | 0.060 | 0.049
19/r | 0.068 | 0.092 | 0.094 | 0.087

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
