=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.01216

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.7 | 18.91 | 0.1325 (L 0.1388/R 0.1262) | 0.1610 | 0.00889 | 0.0538 | 0.02683
 S3b |   4.4 | 18.51 | 0.1845 (L 0.1812/R 0.1878) | 0.1861 | 0.01184 | 0.0557 | 0.02676
 S5b |   4.8 | 18.04 | 0.1600 (L 0.1588/R 0.1612) | 0.1811 | 0.01236 | 0.0488 | 0.02959
 H4b |   4.6 | 19.25 | 0.1390 (L 0.1361/R 0.1419) | 0.1781 | 0.00906 | 0.0408 | 0.01804

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.3944 ± 0.5945 |  32.5% | 0.001
  PSNR |  S5b | -0.8654 ± 0.6305 |  12.5% | 0.000
  PSNR |  H4b | +0.3444 ± 0.5877 |  67.5% | 0.001
AbsRel |  S3b | +0.0519 ± 0.0344 |   5.0% | 0.000
AbsRel |  S5b | +0.0275 ± 0.0340 |  20.0% | 0.000
AbsRel |  H4b | +0.0065 ± 0.0293 |  55.0% | 0.383
 LPIPS |  S3b | +0.0251 ± 0.0173 |   5.0% | 0.000
 LPIPS |  S5b | +0.0201 ± 0.0152 |   7.5% | 0.000
 LPIPS |  H4b | +0.0171 ± 0.0192 |  15.0% | 0.000
 sharp |  S3b | +0.0029 ± 0.0009 | 100.0% | 0.000
 sharp |  S5b | +0.0035 ± 0.0010 | 100.0% | 0.000
 sharp |  H4b | +0.0002 ± 0.0009 |  57.5% | 0.259
    CV |  S3b | +0.0019 ± 0.0113 |  40.0% | 0.622
    CV |  S5b | -0.0050 ± 0.0089 |  65.0% | 0.044
    CV |  H4b | -0.0130 ± 0.0084 |  95.0% | 0.000
   div |  S3b | -0.0001 ± 0.0017 |  66.7% | 0.844
   div |  S5b | +0.0028 ± 0.0019 | 100.0% | 0.031
   div |  H4b | -0.0088 ± 0.0020 |   0.0% | 0.031

[샘플별 AbsRel] batch/view | T25 | S3b | S5b | H4b
0/l | 0.092 | 0.100 | 0.118 | 0.082
0/r | 0.138 | 0.191 | 0.145 | 0.135
1/l | 0.188 | 0.244 | 0.231 | 0.215
1/r | 0.093 | 0.180 | 0.103 | 0.161
2/l | 0.108 | 0.100 | 0.112 | 0.080
2/r | 0.113 | 0.107 | 0.116 | 0.079
3/l | 0.134 | 0.177 | 0.168 | 0.120
3/r | 0.116 | 0.132 | 0.128 | 0.095
4/l | 0.158 | 0.186 | 0.158 | 0.134
4/r | 0.099 | 0.142 | 0.123 | 0.094
5/l | 0.192 | 0.229 | 0.185 | 0.182
5/r | 0.127 | 0.213 | 0.180 | 0.139
6/l | 0.195 | 0.237 | 0.203 | 0.183
6/r | 0.143 | 0.226 | 0.195 | 0.156
7/l | 0.161 | 0.164 | 0.160 | 0.142
7/r | 0.155 | 0.209 | 0.196 | 0.154
8/l | 0.190 | 0.246 | 0.247 | 0.201
8/r | 0.171 | 0.179 | 0.154 | 0.135
9/l | 0.146 | 0.248 | 0.212 | 0.203
9/r | 0.095 | 0.169 | 0.134 | 0.112
10/l | 0.128 | 0.138 | 0.108 | 0.082
10/r | 0.141 | 0.185 | 0.144 | 0.156
11/l | 0.127 | 0.257 | 0.189 | 0.187
11/r | 0.077 | 0.157 | 0.131 | 0.105
12/l | 0.123 | 0.159 | 0.113 | 0.117
12/r | 0.155 | 0.227 | 0.201 | 0.202
13/l | 0.105 | 0.133 | 0.096 | 0.090
13/r | 0.122 | 0.195 | 0.179 | 0.175
14/l | 0.142 | 0.216 | 0.226 | 0.159
14/r | 0.184 | 0.262 | 0.300 | 0.244
15/l | 0.113 | 0.150 | 0.133 | 0.103
15/r | 0.153 | 0.176 | 0.202 | 0.136
16/l | 0.113 | 0.166 | 0.150 | 0.103
16/r | 0.090 | 0.216 | 0.184 | 0.127
17/l | 0.128 | 0.162 | 0.144 | 0.111
17/r | 0.101 | 0.151 | 0.128 | 0.100
18/l | 0.107 | 0.130 | 0.111 | 0.093
18/r | 0.073 | 0.203 | 0.145 | 0.123
19/l | 0.129 | 0.182 | 0.112 | 0.134
19/r | 0.181 | 0.236 | 0.134 | 0.208

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
