=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 60 = 뷰 샘플 120, 다양성 배치 20×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.34 | 0.0725 (L 0.0829/R 0.0621) | 0.1227 | 0.01268 | 0.1685 | 0.01846
 S3b |   4.4 | 20.19 | 0.0858 (L 0.0870/R 0.0845) | 0.1407 | 0.01295 | 0.1373 | 0.01931
 S4b |   4.6 | 19.97 | 0.0791 (L 0.0810/R 0.0772) | 0.1372 | 0.01295 | 0.1409 | 0.01989
 S5b |   4.9 | 20.03 | 0.0773 (L 0.0768/R 0.0779) | 0.1378 | 0.01296 | 0.1452 | 0.02027
 H3b |   4.4 | 21.03 | 0.0691 (L 0.0785/R 0.0598) | 0.1401 | 0.01141 | 0.1727 | 0.01125
 H4b |   4.6 | 20.81 | 0.0663 (L 0.0777/R 0.0549) | 0.1335 | 0.01166 | 0.1770 | 0.01230

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.1490 ± 0.6347 |  32.5% | 0.003
  PSNR |  S4b | -0.3642 ± 0.6186 |  25.8% | 0.000
  PSNR |  S5b | -0.3110 ± 0.5654 |  24.2% | 0.000
  PSNR |  H3b | +0.6879 ± 0.6061 |  90.0% | 0.000
  PSNR |  H4b | +0.4690 ± 0.6087 |  84.2% | 0.000
AbsRel |  S3b | +0.0133 ± 0.0235 |  25.8% | 0.000
AbsRel |  S4b | +0.0066 ± 0.0241 |  38.3% | 0.003
AbsRel |  S5b | +0.0048 ± 0.0242 |  44.2% | 0.047
AbsRel |  H3b | -0.0034 ± 0.0152 |  50.0% | 0.072
AbsRel |  H4b | -0.0062 ± 0.0145 |  72.5% | 0.000
 LPIPS |  S3b | +0.0180 ± 0.0103 |   2.5% | 0.000
 LPIPS |  S4b | +0.0146 ± 0.0092 |   3.3% | 0.000
 LPIPS |  S5b | +0.0151 ± 0.0091 |   2.5% | 0.000
 LPIPS |  H3b | +0.0175 ± 0.0113 |   1.7% | 0.000
 LPIPS |  H4b | +0.0109 ± 0.0089 |   9.2% | 0.000
 sharp |  S3b | +0.0003 ± 0.0009 |  57.5% | 0.031
 sharp |  S4b | +0.0003 ± 0.0007 |  63.3% | 0.000
 sharp |  S5b | +0.0003 ± 0.0006 |  70.8% | 0.000
 sharp |  H3b | -0.0013 ± 0.0006 |   1.7% | 0.000
 sharp |  H4b | -0.0010 ± 0.0005 |   1.7% | 0.000
    CV |  S3b | -0.0312 ± 0.0513 |  65.0% | 0.000
    CV |  S4b | -0.0276 ± 0.0470 |  73.3% | 0.000
    CV |  S5b | -0.0233 ± 0.0439 |  73.3% | 0.000
    CV |  H3b | +0.0042 ± 0.0247 |  43.3% | 0.369
    CV |  H4b | +0.0085 ± 0.0237 |  40.0% | 0.008
   div |  S3b | +0.0008 ± 0.0022 |  75.0% | 0.006
   div |  S4b | +0.0014 ± 0.0022 |  85.0% | 0.000
   div |  S5b | +0.0018 ± 0.0028 |  72.5% | 0.000
   div |  H3b | -0.0072 ± 0.0025 |   0.0% | 0.000
   div |  H4b | -0.0062 ± 0.0020 |   0.0% | 0.000

[샘플별 AbsRel] batch/view | T25 | S3b | S4b | S5b | H3b | H4b
0/l | 0.068 | 0.091 | 0.087 | 0.087 | 0.062 | 0.062
0/r | 0.094 | 0.117 | 0.113 | 0.097 | 0.100 | 0.087
1/l | 0.133 | 0.127 | 0.102 | 0.099 | 0.117 | 0.117
1/r | 0.035 | 0.058 | 0.045 | 0.047 | 0.042 | 0.033
2/l | 0.173 | 0.130 | 0.118 | 0.107 | 0.140 | 0.138
2/r | 0.067 | 0.072 | 0.055 | 0.059 | 0.047 | 0.037
3/l | 0.049 | 0.099 | 0.094 | 0.077 | 0.058 | 0.060
3/r | 0.079 | 0.136 | 0.134 | 0.115 | 0.085 | 0.076
4/l | 0.064 | 0.072 | 0.068 | 0.061 | 0.064 | 0.062
4/r | 0.076 | 0.105 | 0.106 | 0.103 | 0.077 | 0.080
5/l | 0.049 | 0.059 | 0.050 | 0.047 | 0.050 | 0.046
5/r | 0.073 | 0.063 | 0.072 | 0.071 | 0.054 | 0.057
6/l | 0.101 | 0.083 | 0.067 | 0.073 | 0.077 | 0.072
6/r | 0.055 | 0.089 | 0.102 | 0.093 | 0.062 | 0.084
7/l | 0.050 | 0.071 | 0.070 | 0.079 | 0.057 | 0.057
7/r | 0.066 | 0.083 | 0.079 | 0.085 | 0.047 | 0.046
8/l | 0.070 | 0.069 | 0.072 | 0.069 | 0.060 | 0.062
8/r | 0.047 | 0.053 | 0.057 | 0.056 | 0.044 | 0.044
9/l | 0.047 | 0.075 | 0.077 | 0.071 | 0.049 | 0.049
9/r | 0.053 | 0.083 | 0.071 | 0.081 | 0.054 | 0.055
10/l | 0.046 | 0.057 | 0.050 | 0.050 | 0.043 | 0.039
10/r | 0.038 | 0.093 | 0.069 | 0.063 | 0.057 | 0.050
11/l | 0.091 | 0.107 | 0.100 | 0.104 | 0.095 | 0.091
11/r | 0.100 | 0.166 | 0.157 | 0.155 | 0.101 | 0.106
12/l | 0.037 | 0.050 | 0.048 | 0.043 | 0.035 | 0.030
12/r | 0.071 | 0.069 | 0.050 | 0.055 | 0.040 | 0.033
13/l | 0.039 | 0.052 | 0.052 | 0.045 | 0.039 | 0.035
13/r | 0.047 | 0.053 | 0.051 | 0.041 | 0.040 | 0.039
14/l | 0.067 | 0.090 | 0.054 | 0.051 | 0.060 | 0.056
14/r | 0.086 | 0.111 | 0.083 | 0.097 | 0.081 | 0.071
15/l | 0.044 | 0.054 | 0.055 | 0.048 | 0.046 | 0.043
15/r | 0.079 | 0.082 | 0.065 | 0.068 | 0.054 | 0.047
16/l | 0.046 | 0.064 | 0.055 | 0.053 | 0.049 | 0.046
16/r | 0.072 | 0.070 | 0.074 | 0.074 | 0.053 | 0.051
17/l | 0.046 | 0.057 | 0.049 | 0.048 | 0.053 | 0.047
17/r | 0.072 | 0.080 | 0.085 | 0.086 | 0.058 | 0.057
18/l | 0.060 | 0.057 | 0.054 | 0.045 | 0.047 | 0.048
18/r | 0.032 | 0.081 | 0.064 | 0.049 | 0.054 | 0.045
19/l | 0.066 | 0.055 | 0.049 | 0.047 | 0.052 | 0.053
19/r | 0.068 | 0.092 | 0.092 | 0.093 | 0.068 | 0.065
20/l | 0.101 | 0.121 | 0.113 | 0.093 | 0.097 | 0.107
20/r | 0.033 | 0.054 | 0.041 | 0.045 | 0.034 | 0.023
21/l | 0.103 | 0.109 | 0.099 | 0.089 | 0.095 | 0.088
21/r | 0.033 | 0.054 | 0.039 | 0.042 | 0.036 | 0.026
22/l | 0.055 | 0.050 | 0.047 | 0.044 | 0.055 | 0.053
