=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.43 | 0.0819 (L 0.0759/R 0.0878) | 0.1357 | 0.01362 | 0.1372 | 0.02242
 H3b |   4.4 | 21.33 | 0.0618 (L 0.0626/R 0.0609) | 0.1362 | 0.01202 | 0.1779 | 0.01314
 H4b |   4.6 | 21.09 | 0.0595 (L 0.0607/R 0.0582) | 0.1298 | 0.01232 | 0.1818 | 0.01581

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.1896 ± 0.5670 |  27.5% | 0.027
  PSNR |  H3b | +0.7115 ± 0.4909 |  92.5% | 0.000
  PSNR |  H4b | +0.4769 ± 0.5075 |  85.0% | 0.000
AbsRel |  S3b | +0.0155 ± 0.0211 |  22.5% | 0.000
AbsRel |  H3b | -0.0047 ± 0.0123 |  52.5% | 0.082
AbsRel |  H4b | -0.0070 ± 0.0137 |  75.0% | 0.002
 LPIPS |  S3b | +0.0177 ± 0.0090 |   2.5% | 0.000
 LPIPS |  H3b | +0.0182 ± 0.0104 |   0.0% | 0.000
 LPIPS |  H4b | +0.0119 ± 0.0067 |   5.0% | 0.000
 sharp |  S3b | +0.0002 ± 0.0010 |  55.0% | 0.468
 sharp |  H3b | -0.0014 ± 0.0007 |   0.0% | 0.000
 sharp |  H4b | -0.0011 ± 0.0006 |   5.0% | 0.000
    CV |  S3b | -0.0321 ± 0.0505 |  65.0% | 0.014
    CV |  H3b | +0.0085 ± 0.0294 |  35.0% | 0.154
    CV |  H4b | +0.0124 ± 0.0288 |  35.0% | 0.033
   div |  S3b | -0.0003 ± 0.0027 |  50.0% | 0.844
   div |  H3b | -0.0096 ± 0.0019 |   0.0% | 0.031
   div |  H4b | -0.0069 ± 0.0011 |   0.0% | 0.031

[샘플별 AbsRel] batch/view | T25 | S3b | H3b | H4b
0/l | 0.068 | 0.091 | 0.062 | 0.062
0/r | 0.094 | 0.117 | 0.100 | 0.087
1/l | 0.133 | 0.127 | 0.117 | 0.117
1/r | 0.035 | 0.058 | 0.042 | 0.033
2/l | 0.173 | 0.130 | 0.140 | 0.138
2/r | 0.067 | 0.072 | 0.047 | 0.037
3/l | 0.049 | 0.099 | 0.058 | 0.060
3/r | 0.079 | 0.136 | 0.085 | 0.076
4/l | 0.064 | 0.072 | 0.064 | 0.062
4/r | 0.076 | 0.105 | 0.077 | 0.080
5/l | 0.049 | 0.059 | 0.050 | 0.046
5/r | 0.073 | 0.063 | 0.054 | 0.057
6/l | 0.101 | 0.083 | 0.077 | 0.072
6/r | 0.055 | 0.089 | 0.062 | 0.084
7/l | 0.050 | 0.071 | 0.057 | 0.057
7/r | 0.066 | 0.083 | 0.047 | 0.046
8/l | 0.070 | 0.069 | 0.060 | 0.062
8/r | 0.047 | 0.053 | 0.044 | 0.044
9/l | 0.047 | 0.075 | 0.049 | 0.049
9/r | 0.053 | 0.083 | 0.054 | 0.055
10/l | 0.046 | 0.057 | 0.043 | 0.039
10/r | 0.038 | 0.093 | 0.057 | 0.050
11/l | 0.091 | 0.107 | 0.095 | 0.091
11/r | 0.100 | 0.166 | 0.101 | 0.106
12/l | 0.037 | 0.050 | 0.035 | 0.030
12/r | 0.071 | 0.069 | 0.040 | 0.033
13/l | 0.039 | 0.052 | 0.039 | 0.035
13/r | 0.047 | 0.053 | 0.040 | 0.039
14/l | 0.067 | 0.090 | 0.060 | 0.056
14/r | 0.086 | 0.111 | 0.081 | 0.071
15/l | 0.044 | 0.054 | 0.046 | 0.043
15/r | 0.079 | 0.082 | 0.054 | 0.047
16/l | 0.046 | 0.064 | 0.049 | 0.046
16/r | 0.072 | 0.070 | 0.053 | 0.051
17/l | 0.046 | 0.057 | 0.053 | 0.047
17/r | 0.072 | 0.080 | 0.058 | 0.057
18/l | 0.060 | 0.057 | 0.047 | 0.048
18/r | 0.032 | 0.081 | 0.054 | 0.045
19/l | 0.066 | 0.055 | 0.052 | 0.053
19/r | 0.068 | 0.092 | 0.068 | 0.065

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
