=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.45 | 0.0820 (L 0.0759/R 0.0880) | 0.1368 | 0.01318 | 0.1331 | 0.02275

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.1677 ± 0.5713 |  35.0% | 0.053
AbsRel |  S3b | +0.0156 ± 0.0212 |  22.5% | 0.000
 LPIPS |  S3b | +0.0188 ± 0.0091 |   2.5% | 0.000
 sharp |  S3b | -0.0002 ± 0.0009 |  27.5% | 0.007
    CV |  S3b | -0.0362 ± 0.0496 |  75.0% | 0.002
   div |  S3b | +0.0000 ± 0.0030 |  50.0% | 1.000

[샘플별 AbsRel] batch/view | T25 | S3b
0/l | 0.068 | 0.096
0/r | 0.094 | 0.115
1/l | 0.133 | 0.126
1/r | 0.035 | 0.062
2/l | 0.173 | 0.130
2/r | 0.067 | 0.065
3/l | 0.049 | 0.100
3/r | 0.079 | 0.137
4/l | 0.064 | 0.071
4/r | 0.076 | 0.112
5/l | 0.049 | 0.057
5/r | 0.073 | 0.070
6/l | 0.101 | 0.082
6/r | 0.055 | 0.090
7/l | 0.050 | 0.072
7/r | 0.066 | 0.091
8/l | 0.070 | 0.070
8/r | 0.047 | 0.052
9/l | 0.047 | 0.075
9/r | 0.053 | 0.092
10/l | 0.046 | 0.059
10/r | 0.038 | 0.086
11/l | 0.091 | 0.105
11/r | 0.100 | 0.171
12/l | 0.037 | 0.050
12/r | 0.071 | 0.067
13/l | 0.039 | 0.052
13/r | 0.047 | 0.053
14/l | 0.067 | 0.082
14/r | 0.086 | 0.099
15/l | 0.044 | 0.054
15/r | 0.079 | 0.081
16/l | 0.046 | 0.062
16/r | 0.072 | 0.072
17/l | 0.046 | 0.057
17/r | 0.072 | 0.082
18/l | 0.060 | 0.060
18/r | 0.032 | 0.073
19/l | 0.066 | 0.058
19/r | 0.068 | 0.093

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
