=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step2400.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 19.90 | 0.0838 (L 0.0673/R 0.1003) | 0.1424 | 0.01671 | 0.1360 | 0.02421

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.7177 ± 0.6025 |  12.5% | 0.000
AbsRel |  S3b | +0.0174 ± 0.0275 |  22.5% | 0.000
 LPIPS |  S3b | +0.0244 ± 0.0097 |   0.0% | 0.000
 sharp |  S3b | +0.0033 ± 0.0011 | 100.0% | 0.000
    CV |  S3b | -0.0333 ± 0.0462 |  75.0% | 0.003
   div |  S3b | +0.0015 ± 0.0044 |  50.0% | 0.562

[샘플별 AbsRel] batch/view | T25 | S3b
0/l | 0.068 | 0.089
0/r | 0.094 | 0.123
1/l | 0.133 | 0.112
1/r | 0.035 | 0.079
2/l | 0.173 | 0.111
2/r | 0.067 | 0.104
3/l | 0.049 | 0.077
3/r | 0.079 | 0.127
4/l | 0.064 | 0.060
4/r | 0.076 | 0.154
5/l | 0.049 | 0.051
5/r | 0.073 | 0.081
6/l | 0.101 | 0.074
6/r | 0.055 | 0.101
7/l | 0.050 | 0.066
7/r | 0.066 | 0.125
8/l | 0.070 | 0.062
8/r | 0.047 | 0.060
9/l | 0.047 | 0.068
9/r | 0.053 | 0.112
10/l | 0.046 | 0.055
10/r | 0.038 | 0.072
11/l | 0.091 | 0.112
11/r | 0.100 | 0.184
12/l | 0.037 | 0.046
12/r | 0.071 | 0.093
13/l | 0.039 | 0.047
13/r | 0.047 | 0.046
14/l | 0.067 | 0.060
14/r | 0.086 | 0.089
15/l | 0.044 | 0.048
15/r | 0.079 | 0.108
16/l | 0.046 | 0.049
16/r | 0.072 | 0.091
17/l | 0.046 | 0.047
17/r | 0.072 | 0.100
18/l | 0.060 | 0.057
18/r | 0.032 | 0.048
19/l | 0.066 | 0.054
19/r | 0.068 | 0.109

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
