=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step3200.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  26.1 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.01 | 0.0727 (L 0.0646/R 0.0809) | 0.1383 | 0.01572 | 0.1307 | 0.02300

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.6042 ± 0.5306 |   7.5% | 0.000
AbsRel |  S3b | +0.0063 ± 0.0202 |  32.5% | 0.015
 LPIPS |  S3b | +0.0203 ± 0.0079 |   0.0% | 0.000
 sharp |  S3b | +0.0023 ± 0.0009 | 100.0% | 0.000
    CV |  S3b | -0.0386 ± 0.0502 |  85.0% | 0.001
   div |  S3b | +0.0003 ± 0.0038 |  50.0% | 1.000

[샘플별 AbsRel] batch/view | T25 | S3b
0/l | 0.068 | 0.083
0/r | 0.094 | 0.122
1/l | 0.133 | 0.109
1/r | 0.035 | 0.047
2/l | 0.173 | 0.114
2/r | 0.067 | 0.066
3/l | 0.049 | 0.072
3/r | 0.079 | 0.109
4/l | 0.064 | 0.057
4/r | 0.076 | 0.116
5/l | 0.049 | 0.052
5/r | 0.073 | 0.071
6/l | 0.101 | 0.065
6/r | 0.055 | 0.083
7/l | 0.050 | 0.064
7/r | 0.066 | 0.081
8/l | 0.070 | 0.057
8/r | 0.047 | 0.058
9/l | 0.047 | 0.060
9/r | 0.053 | 0.063
10/l | 0.046 | 0.051
10/r | 0.038 | 0.066
11/l | 0.091 | 0.106
11/r | 0.100 | 0.160
12/l | 0.037 | 0.047
12/r | 0.071 | 0.066
13/l | 0.039 | 0.050
13/r | 0.047 | 0.046
14/l | 0.067 | 0.050
14/r | 0.086 | 0.095
15/l | 0.044 | 0.052
15/r | 0.079 | 0.081
16/l | 0.046 | 0.051
16/r | 0.072 | 0.070
17/l | 0.046 | 0.048
17/r | 0.072 | 0.074
18/l | 0.060 | 0.052
18/r | 0.032 | 0.051
19/l | 0.066 | 0.052
19/r | 0.068 | 0.093

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
