=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.20 | 0.0781 (L 0.0769/R 0.0794) | 0.1319 | 0.01368 | 0.1736 | 0.02139

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.4157 ± 0.4060 |  17.5% | 0.000
AbsRel |  S3b | +0.0117 ± 0.0166 |  25.0% | 0.000
 LPIPS |  S3b | +0.0139 ± 0.0064 |   0.0% | 0.000
 sharp |  S3b | +0.0003 ± 0.0008 |  62.5% | 0.053
    CV |  S3b | +0.0043 ± 0.0320 |  50.0% | 1.000
   div |  S3b | -0.0013 ± 0.0030 |  33.3% | 0.562

[샘플별 AbsRel] batch/view | T25 | S3b
0/l | 0.068 | 0.085
0/r | 0.094 | 0.142
1/l | 0.133 | 0.136
1/r | 0.035 | 0.043
2/l | 0.173 | 0.160
2/r | 0.067 | 0.061
3/l | 0.049 | 0.076
3/r | 0.079 | 0.119
4/l | 0.064 | 0.083
4/r | 0.076 | 0.097
5/l | 0.049 | 0.057
5/r | 0.073 | 0.069
6/l | 0.101 | 0.083
6/r | 0.055 | 0.090
7/l | 0.050 | 0.072
7/r | 0.066 | 0.050
8/l | 0.070 | 0.067
8/r | 0.047 | 0.073
9/l | 0.047 | 0.064
9/r | 0.053 | 0.079
10/l | 0.046 | 0.057
10/r | 0.038 | 0.076
11/l | 0.091 | 0.109
11/r | 0.100 | 0.119
12/l | 0.037 | 0.047
12/r | 0.071 | 0.050
13/l | 0.039 | 0.051
13/r | 0.047 | 0.055
14/l | 0.067 | 0.075
14/r | 0.086 | 0.102
15/l | 0.044 | 0.058
15/r | 0.079 | 0.060
16/l | 0.046 | 0.061
16/r | 0.072 | 0.068
17/l | 0.046 | 0.063
17/r | 0.072 | 0.071
18/l | 0.060 | 0.064
18/r | 0.032 | 0.071
19/l | 0.066 | 0.070
19/r | 0.068 | 0.092

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
