=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.43 | 0.0819 (L 0.0759/R 0.0878) | 0.1357 | 0.01362 | 0.1372 | 0.02242
 S4b |   4.6 | 20.24 | 0.0749 (L 0.0686/R 0.0812) | 0.1326 | 0.01363 | 0.1429 | 0.02398
 S5b |   4.8 | 20.27 | 0.0722 (L 0.0651/R 0.0794) | 0.1327 | 0.01372 | 0.1480 | 0.02660

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.1896 ± 0.5670 |  27.5% | 0.027
  PSNR |  S4b | -0.3770 ± 0.5243 |  25.0% | 0.000
  PSNR |  S5b | -0.3515 ± 0.4576 |  20.0% | 0.000
AbsRel |  S3b | +0.0155 ± 0.0211 |  22.5% | 0.000
AbsRel |  S4b | +0.0085 ± 0.0229 |  27.5% | 0.016
AbsRel |  S5b | +0.0058 ± 0.0218 |  35.0% | 0.039
 LPIPS |  S3b | +0.0177 ± 0.0090 |   2.5% | 0.000
 LPIPS |  S4b | +0.0147 ± 0.0067 |   0.0% | 0.000
 LPIPS |  S5b | +0.0147 ± 0.0059 |   0.0% | 0.000
 sharp |  S3b | +0.0002 ± 0.0010 |  55.0% | 0.468
 sharp |  S4b | +0.0002 ± 0.0008 |  55.0% | 0.076
 sharp |  S5b | +0.0003 ± 0.0007 |  80.0% | 0.004
    CV |  S3b | -0.0321 ± 0.0505 |  65.0% | 0.014
    CV |  S4b | -0.0265 ± 0.0495 |  70.0% | 0.019
    CV |  S5b | -0.0214 ± 0.0450 |  75.0% | 0.040
   div |  S3b | -0.0003 ± 0.0027 |  50.0% | 0.844
   div |  S4b | +0.0013 ± 0.0030 |  50.0% | 0.562
   div |  S5b | +0.0039 ± 0.0038 |  83.3% | 0.094

[샘플별 AbsRel] batch/view | T25 | S3b | S4b | S5b
0/l | 0.068 | 0.091 | 0.087 | 0.087
0/r | 0.094 | 0.117 | 0.113 | 0.097
1/l | 0.133 | 0.127 | 0.102 | 0.099
1/r | 0.035 | 0.058 | 0.045 | 0.047
2/l | 0.173 | 0.130 | 0.118 | 0.107
2/r | 0.067 | 0.072 | 0.055 | 0.059
3/l | 0.049 | 0.099 | 0.094 | 0.077
3/r | 0.079 | 0.136 | 0.134 | 0.115
4/l | 0.064 | 0.072 | 0.068 | 0.061
4/r | 0.076 | 0.105 | 0.106 | 0.103
5/l | 0.049 | 0.059 | 0.050 | 0.047
5/r | 0.073 | 0.063 | 0.072 | 0.071
6/l | 0.101 | 0.083 | 0.067 | 0.073
6/r | 0.055 | 0.089 | 0.102 | 0.093
7/l | 0.050 | 0.071 | 0.070 | 0.079
7/r | 0.066 | 0.083 | 0.079 | 0.085
8/l | 0.070 | 0.069 | 0.072 | 0.069
8/r | 0.047 | 0.053 | 0.057 | 0.056
9/l | 0.047 | 0.075 | 0.077 | 0.071
9/r | 0.053 | 0.083 | 0.071 | 0.081
10/l | 0.046 | 0.057 | 0.050 | 0.050
10/r | 0.038 | 0.093 | 0.069 | 0.063
11/l | 0.091 | 0.107 | 0.100 | 0.104
11/r | 0.100 | 0.166 | 0.157 | 0.155
12/l | 0.037 | 0.050 | 0.048 | 0.043
12/r | 0.071 | 0.069 | 0.050 | 0.055
13/l | 0.039 | 0.052 | 0.052 | 0.045
13/r | 0.047 | 0.053 | 0.051 | 0.041
14/l | 0.067 | 0.090 | 0.054 | 0.051
14/r | 0.086 | 0.111 | 0.083 | 0.097
15/l | 0.044 | 0.054 | 0.055 | 0.048
15/r | 0.079 | 0.082 | 0.065 | 0.068
16/l | 0.046 | 0.064 | 0.055 | 0.053
16/r | 0.072 | 0.070 | 0.074 | 0.074
17/l | 0.046 | 0.057 | 0.049 | 0.048
17/r | 0.072 | 0.080 | 0.085 | 0.086
18/l | 0.060 | 0.057 | 0.054 | 0.045
18/r | 0.032 | 0.081 | 0.064 | 0.049
19/l | 0.066 | 0.055 | 0.049 | 0.047
19/r | 0.068 | 0.092 | 0.092 | 0.093

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
