=== 영역별 지각 품질 (data_seed 1234, 배치 20 = 뷰 샘플 40) ===
student: dmd_gen_step1600.pt | moving = GT 3D가 조건 프레임 대비 2cm 이상 이동한 픽셀, static = 그 여집합
영역 비율(픽셀): moving 28.5% static 71.5% grip 2.35% obj 0.23%
선명도는 라플라시안 분산(마스크 1px 침식), LPIPS는 spatial 맵의 마스크 내 평균. GT 선명도는 sharp_gt 로 함께 기록.

[평균] 지표 | T25 | S3b | S5b | H4b
whole 선명도(라플라시안 분산) ^                  | 0.0 | 0.0 | 0.0 | 0.0
whole LPIPS v                          | 0.1179 | 0.1357 | 0.1327 | 0.1298
whole AbsRel v                         | 0.0664 | 0.0819 | 0.0722 | 0.0595
whole PSNR ^                           | 20.76 | 20.47 | 20.57 | 20.98
moving 선명도(라플라시안 분산) ^                 | 0.0 | 0.0 | 0.0 | 0.0
moving LPIPS v                         | 0.2298 | 0.2646 | 0.2583 | 0.2704
moving AbsRel v                        | 0.1683 | 0.1768 | 0.1559 | 0.1638
moving PSNR ^                          | 17.51 | 17.31 | 17.30 | 17.91
static 선명도(라플라시안 분산) ^                 | 0.0 | 0.0 | 0.0 | 0.0
static LPIPS v                         | 0.1179 | 0.1350 | 0.1313 | 0.1301
static AbsRel v                        | 0.0969 | 0.1365 | 0.1184 | 0.1009
static PSNR ^                          | 18.79 | 18.55 | 18.65 | 18.94
grip 선명도(라플라시안 분산) ^                   | 0.0 | 0.0 | 0.0 | 0.0
grip LPIPS v                           | 0.2540 | 0.3006 | 0.2878 | 0.3071
grip AbsRel v                          | 0.2062 | 0.2249 | 0.2111 | 0.2096
grip PSNR ^                            | 14.68 | 14.87 | 14.80 | 15.11
obj 선명도(라플라시안 분산) ^                    | 0.0 | 0.0 | 0.0 | 0.0
obj LPIPS v                            | 0.2337 | 0.2622 | 0.2599 | 0.2639
obj AbsRel v                           | 0.1271 | 0.1153 | 0.1214 | 0.1185
obj PSNR ^                             | 16.34 | 16.43 | 16.14 | 16.78

[GT 대비 선명도 비율] 영역 | T25 | S3b | S5b | H4b
whole                                  | 75% | 75% | 75% | 70%
moving                                 | 54% | 45% | 49% | 37%
static                                 | 76% | 76% | 76% | 71%
grip                                   | 46% | 41% | 43% | 36%
obj                                    | 58% | 50% | 52% | 42%

[paired vs T25] 지표 | 설정 | 차이 | 상대(%) | 90% CI | Wilcoxon p
whole 선명도(라플라시안 분산) ^                  |  S3b | +0.0 | +0.0% | [-0.0, +0.0] | 0.192
whole 선명도(라플라시안 분산) ^                  |  S5b | +0.0 | +0.9% | [-0.0, +0.0] | 0.104
whole 선명도(라플라시안 분산) ^                  |  H4b | -0.0 | -6.9% | [-0.0, -0.0] | 4.48e-08
whole LPIPS v                          |  S3b | +0.0177 | +15.0% | [+0.0154, +0.0200] | 4.16e-08
whole LPIPS v                          |  S5b | +0.0147 | +12.5% | [+0.0132, +0.0162] | 3.57e-08
whole LPIPS v                          |  H4b | +0.0119 | +10.1% | [+0.0102, +0.0136] | 4.48e-08
whole AbsRel v                         |  S3b | +0.0155 | +23.3% | [+0.0102, +0.0211] | 1.22e-05
whole AbsRel v                         |  S5b | +0.0058 | +8.8% | [+0.0003, +0.0114] | 0.0394
whole AbsRel v                         |  H4b | -0.0070 | -10.5% | [-0.0106, -0.0034] | 0.00152
whole PSNR ^                           |  S3b | -0.29 | -1.4% | [-0.51, -0.07] | 0.0332
whole PSNR ^                           |  S5b | -0.19 | -0.9% | [-0.45, +0.07] | 0.0918
whole PSNR ^                           |  H4b | +0.21 | +1.0% | [+0.04, +0.38] | 0.0224
moving 선명도(라플라시안 분산) ^                 |  S3b | -0.0 | -17.5% | [-0.0, -0.0] | 1.11e-05
moving 선명도(라플라시안 분산) ^                 |  S5b | -0.0 | -8.8% | [-0.0, -0.0] | 0.00586
moving 선명도(라플라시안 분산) ^                 |  H4b | -0.0 | -31.1% | [-0.0, -0.0] | 3.57e-08
moving LPIPS v                         |  S3b | +0.0348 | +15.1% | [+0.0273, +0.0422] | 6.54e-08
moving LPIPS v                         |  S5b | +0.0284 | +12.4% | [+0.0232, +0.0337] | 3.57e-08
moving LPIPS v                         |  H4b | +0.0405 | +17.6% | [+0.0311, +0.0496] | 3.57e-08
moving AbsRel v                        |  S3b | +0.0086 | +5.1% | [-0.0020, +0.0196] | 0.216
moving AbsRel v                        |  S5b | -0.0124 | -7.4% | [-0.0266, +0.0018] | 0.545
moving AbsRel v                        |  H4b | -0.0044 | -2.6% | [-0.0104, +0.0017] | 0.1
moving PSNR ^                          |  S3b | -0.21 | -1.2% | [-0.44, +0.03] | 0.17
moving PSNR ^                          |  S5b | -0.21 | -1.2% | [-0.48, +0.06] | 0.0566
