=== 영역별 지각 품질 (data_seed 1234, 배치 20 = 뷰 샘플 40) ===
student: dmd_gen_step1600.pt | moving = GT 3D가 조건 프레임 대비 2cm 이상 이동한 픽셀, static = 그 여집합
영역 비율(픽셀): moving 5.0% static 95.0% grip 2.35% obj 0.23%
선명도는 라플라시안 분산(마스크 1px 침식), LPIPS는 spatial 맵의 마스크 내 평균. GT 선명도는 sharp_gt 로 함께 기록.

[평균] 지표 | T25 | T3r | S3b | S5b
whole 선명도(라플라시안 분산) ^                  | 0.01589 | 0.01441 | 0.01589 | 0.01603
whole LPIPS v                          | 0.1179 | 0.1321 | 0.1357 | 0.1327
whole AbsRel v                         | 0.0664 | 0.0655 | 0.0819 | 0.0722
whole PSNR ^                           | 20.76 | 21.41 | 20.47 | 20.57
moving 선명도(라플라시안 분산) ^                 | 0.01824 | 0.00916 | 0.01381 | 0.01604
moving LPIPS v                         | 0.3228 | 0.3995 | 0.3716 | 0.3590
moving AbsRel v                        | 0.2243 | 0.2246 | 0.2504 | 0.2240
moving PSNR ^                          | 13.57 | 14.48 | 13.56 | 13.57
static 선명도(라플라시안 분산) ^                 | 0.01592 | 0.01464 | 0.01603 | 0.01608
static LPIPS v                         | 0.1117 | 0.1241 | 0.1289 | 0.1262
static AbsRel v                        | 0.0607 | 0.0600 | 0.0750 | 0.0657
static PSNR ^                          | 21.34 | 21.94 | 21.03 | 21.10
grip 선명도(라플라시안 분산) ^                   | 0.01544 | 0.01126 | 0.01395 | 0.01443
grip LPIPS v                           | 0.2540 | 0.3133 | 0.3006 | 0.2878
grip AbsRel v                          | 0.2062 | 0.2027 | 0.2249 | 0.2111
grip PSNR ^                            | 14.68 | 15.49 | 14.87 | 14.80
obj 선명도(라플라시안 분산) ^                    | 0.01698 | 0.01175 | 0.01475 | 0.01522
obj LPIPS v                            | 0.2337 | 0.2652 | 0.2622 | 0.2599
obj AbsRel v                           | 0.1271 | 0.1241 | 0.1153 | 0.1214
obj PSNR ^                             | 16.34 | 16.98 | 16.43 | 16.14

[GT 대비 선명도 비율] 영역 | T25 | T3r | S3b | S5b
whole                                  | 75% | 68% | 75% | 75%
moving                                 | 49% | 25% | 37% | 43%
static                                 | 75% | 69% | 76% | 76%
grip                                   | 46% | 33% | 41% | 43%
obj                                    | 58% | 40% | 50% | 52%

[paired vs T25] 지표 | 설정 | 차이 | 상대(%) | 90% CI | Wilcoxon p
whole 선명도(라플라시안 분산) ^                  |  T3r | -0.00148 | -9.3% | [-0.00162, -0.00133] | 3.57e-08
whole 선명도(라플라시안 분산) ^                  |  S3b | +0.00000 | +0.0% | [-0.00024, +0.00026] | 0.192
whole 선명도(라플라시안 분산) ^                  |  S5b | +0.00014 | +0.9% | [-0.00005, +0.00032] | 0.104
whole LPIPS v                          |  T3r | +0.0142 | +12.0% | [+0.0121, +0.0163] | 3.57e-08
whole LPIPS v                          |  S3b | +0.0177 | +15.0% | [+0.0154, +0.0200] | 4.16e-08
whole LPIPS v                          |  S5b | +0.0147 | +12.5% | [+0.0132, +0.0162] | 3.57e-08
whole AbsRel v                         |  T3r | -0.0009 | -1.3% | [-0.0043, +0.0025] | 0.868
whole AbsRel v                         |  S3b | +0.0155 | +23.3% | [+0.0102, +0.0211] | 1.22e-05
whole AbsRel v                         |  S5b | +0.0058 | +8.8% | [+0.0003, +0.0114] | 0.0394
whole PSNR ^                           |  T3r | +0.65 | +3.1% | [+0.54, +0.75] | 2.49e-10
whole PSNR ^                           |  S3b | -0.29 | -1.4% | [-0.51, -0.07] | 0.0332
whole PSNR ^                           |  S5b | -0.19 | -0.9% | [-0.45, +0.07] | 0.0918
moving 선명도(라플라시안 분산) ^                 |  T3r | -0.00908 | -49.8% | [-0.00986, -0.00830] | 3.57e-08
moving 선명도(라플라시안 분산) ^                 |  S3b | -0.00443 | -24.3% | [-0.00518, -0.00371] | 9.49e-08
moving 선명도(라플라시안 분산) ^                 |  S5b | -0.00220 | -12.1% | [-0.00303, -0.00140] | 0.000207
moving LPIPS v                         |  T3r | +0.0766 | +23.7% | [+0.0670, +0.0865] | 3.85e-08
moving LPIPS v                         |  S3b | +0.0488 | +15.1% | [+0.0397, +0.0569] | 1.48e-07
moving LPIPS v                         |  S5b | +0.0362 | +11.2% | [+0.0306, +0.0416] | 6.06e-08
moving AbsRel v                        |  T3r | +0.0003 | +0.1% | [-0.0071, +0.0072] | 0.963
moving AbsRel v                        |  S3b | +0.0260 | +11.6% | [+0.0093, +0.0434] | 0.031
moving AbsRel v                        |  S5b | -0.0003 | -0.1% | [-0.0187, +0.0181] | 0.931
moving PSNR ^                          |  T3r | +0.91 | +6.7% | [+0.81, +1.01] | 5.46e-12
moving PSNR ^                          |  S3b | -0.02 | -0.1% | [-0.22, +0.19] | 0.785
