=== 스케일 진단: AbsRel 악화가 스케일/오프셋 편향인가 구조 오류인가 (배치 10 = 뷰 20) ===

설정 | raw | scale정렬 | affine정렬 | s(median gt/pred) | a | b | pred/gt 평균비 | raw_fg(마스크) | raw_bg(배경)
T25 | 0.1371 | 0.1096 | 0.1133 | 0.979 | 0.788 | +0.194 | 0.985 | 0.1805 | 0.1334
 S3 | 0.2006 | 0.1391 | 0.1151 | 0.909 | 0.706 | +0.191 | 1.088 | 0.2527 | 0.1965

[paired S3 − T25]
    raw: 평균차 +0.0636 ± 0.1233 | S3가 나은 샘플 5% | 격차 잔존율 100%
  scale: 평균차 +0.0295 ± 0.0651 | S3가 나은 샘플 25% | 격차 잔존율 46%
 affine: 평균차 +0.0018 ± 0.0292 | S3가 나은 샘플 45% | 격차 잔존율 3%

[샘플별] view | T25 raw/scale/affine/s | S3 raw/scale/affine/s
0/l | 0.058/0.055/0.089/1.016 | 0.087/0.048/0.059/0.927
0/r | 0.037/0.037/0.040/1.000 | 0.177/0.060/0.076/0.858
1/l | 0.108/0.108/0.125/0.998 | 0.136/0.117/0.120/0.950
1/r | 0.099/0.073/0.036/1.068 | 0.185/0.185/0.049/1.001
2/l | 0.058/0.055/0.089/1.016 | 0.087/0.048/0.059/0.927
2/r | 0.081/0.066/0.075/1.043 | 0.188/0.168/0.086/0.939
3/l | 0.065/0.065/0.078/1.003 | 0.133/0.066/0.069/0.903
3/r | 0.066/0.066/0.078/1.001 | 0.230/0.078/0.083/0.831
4/l | 0.090/0.079/0.172/0.978 | 0.115/0.060/0.081/0.917
4/r | 0.077/0.073/0.100/0.988 | 0.216/0.215/0.099/0.994
5/l | 0.145/0.111/0.144/0.940 | 0.237/0.148/0.151/0.850
5/r | 0.142/0.111/0.123/0.932 | 0.348/0.130/0.128/0.787
6/l | 0.084/0.075/0.115/0.979 | 0.147/0.084/0.109/0.897
6/r | 0.109/0.100/0.095/1.041 | 0.182/0.172/0.118/0.956
7/l | 0.242/0.232/0.176/0.975 | 0.297/0.206/0.188/0.863
7/r | 0.807/0.456/0.295/0.597 | 0.385/0.297/0.295/0.882
8/l | 0.094/0.094/0.113/1.000 | 0.120/0.105/0.107/0.954
8/r | 0.097/0.074/0.041/1.059 | 0.216/0.198/0.059/0.943
9/l | 0.230/0.212/0.236/0.966 | 0.410/0.290/0.297/0.843
9/r | 0.053/0.050/0.044/0.984 | 0.118/0.108/0.071/0.956

판정: scale/affine 정렬 후 S3−T25 격차가 대부분 사라지면(잔존율 <30%) '스케일 편향' → 6-4는 스케일 앵커 항. 남으면(>60%) '구조 오류' → 포인트맵 consistency loss.
